"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"P34897",7,7,7,8,8,8,12,11,9,9,11,10,7,7,8,6,7,8,18.4200850888655,18.6518939284103,17.9031021669687,18.6664643564007,18.6510556776541,18.2087506846218,19.2806284797208,18.9168343142066,18.6989785279614,19.2215777815171,18.9364556415047,19.1396618951964,18.6935222404016,18.4785416071189,18.4681188043007,19.3639479419593,18.7003564392244,18.6805284708133,6.58475278698248e-18,0.999999995040947,1,8.78783272403124e-18,0.99999999335194,1
"P08727",13,17,13,16,16,16,18,19,18,19,20,17,20,21,17,19,19,21,19.0500657000192,19.0649464260278,18.558845437271,19.2484155098259,18.8887412610786,19.1416773363268,19.2936861443805,18.8154126849568,18.7566293518171,19.2445789384086,19.0005990958251,19.3130321804307,19.7583610657565,19.4393806706811,19.2969002897172,20.3276253541632,19.6690292339889,19.580629191766,-0.677620156826498,3.98497565222126e-09,1.36110941426224e-08,0.461580159286235,3.90763089997288e-05,0.000173744847978424
"Q9H0D6",NA,NA,3,NA,NA,4,10,11,8,12,7,7,4,3,NA,1,3,2,16.435120816822,14.823060303588,16.1493979825855,14.7956662017425,15.0721506766322,15.8854282416314,17.7341060567348,17.3655769922026,17.2474099324628,17.5539348874467,17.4010331703969,17.6400759009618,16.5214956614259,16.4371293025518,16.4440603665881,17.2822853422869,16.5260390732142,16.6979671162991,0.979633644357718,3.74304890362018e-14,2.42945060914215e-13,0.557119054243312,3.68342545257831e-06,1.98739427227877e-05
"Q6PUV4",NA,NA,NA,NA,NA,3,3,3,3,2,2,3,NA,NA,NA,2,2,NA,16.4436429773697,16.2134386417398,16.4594056539374,16.3612860098911,16.2375006502559,16.3060181278745,18.8349709144953,18.2554062603761,18.3800349283006,16.4898767870413,17.4588663485989,17.146266808207,17.094216512007,16.8852114688348,16.5997555988802,16.3512180937654,16.2246482476179,16.8657793809166,0.87936931209861,0.000242471845476926,0.000438342495426755,0.320037030880629,0.12327643728562,0.18430057653971
"O75643",21,6,22,4,9,14,34,34,25,30,32,28,18,23,21,23,24,26,17.4792173251984,16.118598581804,17.3447345823588,16.4007247329107,16.2268096876937,16.7851474799582,18.4071357744775,18.1337093091022,17.8052216140798,18.2032366966459,18.1426023357105,18.3024454126826,17.5276768784673,17.4193669320011,17.3160876434226,18.3640493066697,17.550802473997,17.403028637577,0.73606187872503,2.55939928074604e-06,6.08995401979887e-06,0.625003121193242,6.32554072004758e-05,0.00026644953103218
"Q9BRX8",3,4,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,19.3434184597668,19.6241005230451,19.3342067820399,19.3481170918187,19.4212892715245,19.1001736024575,18.8674936142133,18.7331257485101,18.4832727863951,18.599122143199,18.7717731969306,19.0246526629307,19.051002873158,19.0696640862565,18.8823259493319,19.9946502948873,19.2328174244566,19.0402438530299,-1.16627680195813,1.05390183542697e-19,1.3498912870788e-18,-0.357842468453405,5.3207443728167e-05,0.000226911318634687
"P11172",NA,NA,NA,NA,NA,NA,7,5,5,4,2,3,1,NA,NA,1,NA,1,16.8386234916926,NA,16.886262281718,15.3542864630131,NA,15.911747159904,17.9995201470481,17.7188758072548,17.7168651985885,17.8267743691792,17.4431981818847,17.6805397475043,16.4442937895438,16.4913229094555,15.7944998794219,17.6214782052499,16.2387822146648,15.9097401377306,0.521606936220223,0.000289027709429526,0.000516687991318707,-0.23836118453183,0.0972449588359069,0.150441460157869
"P41227",NA,NA,NA,NA,NA,NA,1,NA,1,2,1,2,NA,NA,1,NA,NA,NA,13.8802746785755,NA,15.6417319467857,14.6969196495333,NA,14.6529079662164,17.0328616776743,16.8917437069269,16.2420051880859,16.3706009057458,17.109941119181,17.2722037525701,16.0280375003187,15.7671868428015,16.0007710149408,16.7351972182706,15.8339975056025,15.8193355601469,1.05336384100142,3.98235163507925e-05,7.98459844901818e-05,0.733132551202782,0.00347614756626795,0.00879476323141133
"Q13813",34,8,25,16,14,24,43,53,49,41,57,56,36,44,39,48,45,43,17.6697250036257,16.1586298600224,17.1518640017153,16.6504549312348,16.2979178938176,16.9859141502191,18.2510027175483,17.9208260773884,18.0073685939381,18.027743147903,18.5174863735598,18.7699124774554,17.6672012664692,17.802436082368,17.6542161920289,18.5213779316713,17.9710390005183,17.6856404656337,0.713847566510439,0.000105396411804553,0.000199524024862708,0.773199048063017,2.75188075755912e-05,0.000126092856849226
"Q8IZ83",NA,1,NA,NA,NA,NA,6,6,NA,NA,2,NA,NA,NA,NA,2,2,NA,16.4167949411981,16.5035782882456,15.7337783828372,15.6061163461069,15.8524239149247,16.0546427408472,17.1429789932087,16.4931935122995,16.528329100842,16.3356731707072,16.0690688275562,16.4585074360276,16.0896508334765,15.8826669224107,15.8405625929578,16.6055046110814,16.2335952267422,15.6011128454286,-0.0548654792192703,0.460615341461212,0.536578948445528,-0.0578250017675937,0.472052056938273,0.579150224174141
"Q8TEX9",8,NA,13,NA,NA,3,19,24,20,22,16,19,10,9,11,10,10,7,16.5257471018039,13.6441050857843,16.7882431889983,14.3753511164305,13.9465195543689,14.5797308598352,17.8852039230444,17.656029691396,17.5261737966063,17.6259885900172,17.4311839050729,17.7192426653607,16.5640872156658,16.4521574060014,16.288497384167,17.2000232974701,16.27067808361,16.2253634959425,1.7938553914256,3.56925343435984e-06,8.32019580826572e-06,1.16496345195014,0.00237255192738154,0.00637192078036139
"P49327",72,23,72,27,21,49,100,94,86,89,89,86,66,65,64,68,67,68,18.6026393476693,16.131682055462,18.6859335662847,16.5391530924041,16.2122361790292,17.0693763865233,20.2079819871858,19.7921956340912,19.6871810860191,19.8688472360036,19.4319434342757,19.9209450387937,18.1425719834084,18.1936334574189,18.0066659121637,18.9018957640105,18.2281585626184,18.0883188812586,1.84830073052256,4.39458391742842e-08,1.29683309720192e-07,0.789936831907404,0.0189479053004399,0.0373820218786821
"P62851",3,2,4,2,2,4,5,5,5,5,5,5,2,2,3,2,2,2,18.5959887574524,17.5317156349475,18.6582527779407,17.9265000001253,17.6639271779211,18.2420468798942,20.8289036131411,20.4582856334003,20.174530103627,20.5533087583931,19.9445092421023,20.2338596769242,17.8385561041588,17.5202582992648,17.7757387453015,18.4856879750838,17.5904191573946,17.6583885870489,1.62278069837334,1.48091217679852e-17,1.40950060147464e-16,-0.485374899946797,0.000757715969646188,0.0023444278906192
"Q07954",NA,9,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.882566582257,15.9264418642613,16.1625277036457,15.5692192612697,15.9415579902439,15.7972866852594,NA,15.0252146691644,15.5635021197326,NA,16.0592237906353,NA,NA,NA,NA,NA,NA,NA,-0.779312643070176,0.0008147752840506,0.00137009698602922,NA,NA,NA
"Q6Y7W6",NA,NA,NA,NA,NA,NA,2,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,15.7988154976304,NA,14.7679454302823,15.1370572213057,17.1705975556316,16.9800442204458,16.6776856737071,17.1123241309402,16.6803985924096,16.7120634169297,14.9762992073929,NA,NA,15.6326466775372,NA,15.5541059695183,1.00387088019727,0.000235313761121507,0.000426362330158456,-0.150467760672185,0.561590503726131,0.673179630277803
"P55084",NA,NA,NA,NA,NA,1,13,12,10,12,11,11,4,6,5,6,6,6,14.9570435625657,13.7448457243243,14.1282698037015,15.0354142246423,14.5494508166953,14.7237637681614,18.9580338421557,18.5389305149084,18.2052133586523,18.5527114747496,18.505590049237,18.7517484157775,16.7969092978345,16.3794156363582,16.6649421217367,17.4655876246684,16.65419338687,16.5721817062176,3.44877455341663,2.63859323214557e-43,2.35323426037279e-41,1.99618811912666,1.44588518997025e-24,9.64325094755161e-23
"P54886",NA,NA,NA,NA,NA,NA,24,24,25,22,21,20,4,5,6,6,6,5,15.3410997632594,14.1517931452991,15.5489125168473,14.8659993102428,14.906289903845,15.3696544324016,18.6487840906545,18.3634233358249,18.0756288170338,18.4459325483854,18.1386913600894,18.3786920578696,16.7019537492413,16.4073163194288,16.1761349040144,17.5158809501362,16.5289546494825,16.0278731918817,0.000300393353540668,0.965720059661302,1,0.000220284153945794,0.976209918182411,1
"P42765",8,15,6,12,11,10,12,12,10,13,11,11,12,10,10,14,12,13,18.2106335408164,18.9121999005053,18.0214077639701,18.7859490430138,18.7478042660426,18.2273585370566,18.8589183446184,18.5128091829962,18.3667046731672,18.7697142606912,18.5497835047482,18.675818662327,18.8478902389223,18.4747886921578,18.351343748236,19.3797731831073,18.7949391612629,18.6505149896306,-0.388637003352144,0.0106320988538238,0.0154136628777892,0.0732537854796155,0.627656881703078,0.743098704619867
"Q9Y4L1",31,37,26,34,32,28,29,26,23,24,23,22,30,25,26,28,26,27,18.6222922566745,19.3007203849099,18.2957417541042,19.0568162782394,18.9187568199262,18.5107925159581,18.4774422085426,17.9876792891932,17.9457266333359,18.0450655723863,17.7780321776838,18.1873248495635,18.5244641002467,18.2426619006,18.1810115935363,19.0761780423337,18.4168414743815,18.2377122559652,-1.25038982309773,9.40552273864968e-16,7.35340868658066e-15,-0.528270626808787,0.000498458547095502,0.00161076577601117
"Q9UHJ6",NA,NA,NA,NA,NA,NA,3,2,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,15.3636429919116,15.5818122798521,NA,15.0156136456619,18.1433935723543,17.5355097212386,17.8140519510864,17.6214973262275,17.5153936503737,18.0991898149164,NA,16.944882861152,16.4149310390465,18.1190578465255,16.9045428246567,16.848070721625,1.66952741266303,8.9487479679877e-11,3.95386882695677e-10,1.40025771869996,1.07447616201743e-08,9.21363308929948e-08
"P11586",10,3,11,3,1,6,20,22,21,18,20,19,13,15,15,14,14,14,17.4273940328015,15.8835054956867,17.3552810901008,16.1671232347013,16.0302489870588,16.7297001904941,19.0624555548382,18.774814912972,18.671364789716,18.8134404233671,18.4921475391133,18.8916406072649,17.7695214888457,17.7519929241656,17.5850009510641,18.448027507294,17.7724541428727,17.7617558798208,1.43347610620378,5.23547310792314e-14,3.31763664312603e-13,0.943243649544261,3.81593852532323e-07,2.48969249981007e-06
"Q9NZL4",NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,16.1175238857648,NA,16.6121301924297,NA,NA,14.8164403630784,16.8828691334073,17.0993265057899,17.2555955607275,17.5064863665469,16.9258484651524,17.4910375144215,16.0707929861049,16.0875264027371,16.2476496986972,16.0998096363897,16.1684591395658,16.1403939615159,0.604166737880757,0.0479844418762813,0.0644431322019439,0.152254608913101,0.600566052813384,0.714548608922168
"O75367",5,6,7,5,6,6,NA,NA,2,NA,9,6,5,6,6,5,7,5,18.7582341945807,18.2386525111715,18.4718175425148,18.0613535711999,17.7946950416744,18.2972098252813,NA,16.1901408198222,17.5663054252999,15.6790659309194,19.0153021206525,18.7049595418175,17.6422655997466,17.864080938208,17.6068893691543,18.8526115401769,18.1858067813494,17.6469388449487,-1.11514536481084,0.00685811251229098,0.0101814641982717,-0.380828367136533,0.311654787634682,0.407118142062498
"O00154",NA,NA,NA,NA,NA,NA,4,3,4,4,4,7,NA,NA,NA,NA,NA,2,16.7481619435107,18.0472652425187,16.5355073158235,15.6732558900268,15.632100250419,16.1115386660921,18.1802711662007,17.847372207792,18.0385383220768,17.6970495016212,17.2484169536028,18.0858177122754,17.1191497551173,16.8247804375738,16.5224798577736,17.6775208400742,17.248516819039,17.0162380193151,0.278390807943328,0.14430203170214,0.181616504925578,0.167241178344561,0.395087844237914,0.495865547794228
"Q96HY6",3,3,NA,4,2,2,NA,1,2,1,3,2,2,2,2,NA,3,2,18.000076756887,17.792731440707,17.5175020627998,18.1114978402417,17.5789098339367,17.909906040945,16.9123214842361,16.6110649115933,16.6227871820377,16.4195542225073,17.317631143805,17.4298412247189,17.2435472292428,17.3062790387746,17.3974593986216,17.1400966408058,17.2913775361003,17.1091478007118,-1.56122631153462,1.03845337403603e-13,6.3466896565451e-13,-0.696087408506249,5.05744279670855e-05,0.000216837859908879
"Q9UKM9",4,NA,4,2,NA,4,6,6,5,6,6,6,4,4,5,4,4,4,17.9689157462484,16.0594291389635,17.636114033602,16.6612317382013,15.5851616011702,17.0346953027417,18.8431922156426,18.3879832950123,17.9513873533414,18.6222913646144,18.4792698332926,18.7905518610225,17.8567567009553,17.9151577226521,17.6109238242271,18.7015047301484,18.1457966205679,17.9226611143286,0.893794125735869,0.000248144586305332,0.000448150890393465,0.762043604802884,0.00159423102331699,0.00448739588157571
"P23434",1,2,2,3,3,3,1,NA,1,2,1,1,NA,1,NA,NA,NA,NA,17.0565991199108,17.7447007406886,16.5490952146861,17.4620224869786,17.1994729466473,16.7908448119388,17.7645066545002,16.9296715948006,17.101892311253,16.8882208800913,16.4892065649096,17.0979515547647,16.915745767722,16.5218148688987,15.8126080486911,16.7406031903053,16.2493473475297,16.2955583933561,-0.663875419436368,0.00442831725273622,0.00674044749974009,-0.807935187939375,0.000777613621367066,0.00239365423705426
"P09525",10,12,10,11,11,9,9,10,12,10,13,13,11,11,9,10,12,10,20.1099613428957,19.6360087917129,20.0078650441848,19.7348330591203,19.5243465841998,19.1556062589469,19.6407002454292,19.5415946089907,19.8440919459279,19.397595811558,20.5362980533507,20.6285221392944,19.7298037920881,19.7704696686494,19.5269119018345,20.5961730879653,19.8212232282188,19.6902830376697,-0.26595618477248,0.0668187059391823,0.0882608030178557,-0.0388014909328757,0.788171376811719,0.895598426751035
"Q96CM8",NA,NA,NA,NA,NA,NA,10,9,8,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5050943677591,18.0772124021213,17.9482904492359,18.2075919532926,18.053150615742,18.232680632001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P23588",NA,NA,NA,NA,NA,NA,6,8,5,5,4,5,6,3,3,4,NA,3,15.2651774907988,14.5647943939499,14.5008027555281,14.9793889897124,14.4781941724793,14.9555571089696,17.0725068241968,17.0739729781545,16.6114859733203,16.8669616624402,17.0522295048007,17.3283131133955,16.2516269399834,16.1752846815443,16.1216426337396,17.1048292743837,16.2625909085764,16.1676285321574,1.55626807372481,1.02081456039307e-20,1.42087945747197e-19,1.23587705104578,3.47666295095918e-16,7.95912996943803e-15
"P55263",5,NA,6,NA,NA,NA,9,10,6,9,6,7,4,5,4,5,6,3,16.6071583235093,14.797791793623,16.8740084044658,15.4900652761576,15.8097220279782,14.9310646006514,18.1115160901428,17.948189302819,18.0366625866493,18.0333664206269,17.425713344953,17.9666181939501,16.7275971910533,16.5314029753538,16.6472204384121,17.6033410647735,16.8061173745379,16.7889363073581,1.35559881315198,1.57478709999752e-07,4.34374265383051e-07,0.751557382634255,0.00223879897069416,0.00603972621195131
"Q9HCC0",10,15,12,19,15,12,12,16,13,15,15,14,11,11,11,12,13,11,17.308004140451,18.1493549417567,17.1430346850262,18.205000958052,18.0362317123161,17.3943073190572,18.0772833446633,17.713602194212,17.5013959083696,17.7562219202005,17.537388947954,17.9019500946001,17.6701134047199,17.3034794135155,17.2856061374398,18.3025317264857,17.5469756545005,17.5608492116494,-0.446639285217305,0.0100573118369071,0.0146332367995604,-0.24132346143326,0.163857949769562,0.234180319878999
"P13861",3,NA,5,NA,NA,1,4,2,3,5,3,3,1,2,2,1,2,2,16.769706278288,NA,16.4920533893519,NA,NA,15.0662245957137,16.8720185600964,16.3958213174387,16.660470879147,16.5732733702972,16.8832479523953,16.839613494841,16.1012222551483,16.044874222175,16.0282356264234,16.5944770745414,16.1377157164051,16.1372561816296,-9.37104981917682e-20,0.999999999393401,1,-1.47643662715812e-19,0.999999999044286,1
"P47897",15,NA,12,3,NA,6,20,19,15,14,15,14,10,10,13,11,10,11,17.587882627036,15.0084425302277,17.5769215386174,15.453697883115,15.3040063266041,16.2881663080106,18.463596923406,18.0304976221167,17.9395899066866,18.2136887867623,17.8976556516897,18.3352765665714,17.074270729702,17.0709761752468,16.870179157331,17.7355857991447,17.2177966534939,17.0512021785034,1.09023788866343,0.000842460899056051,0.00140933803862546,0.629227521147276,0.0530436242049141,0.0896724269209939
"P02649",9,10,9,10,8,8,8,8,6,9,7,7,5,NA,4,3,2,4,18.6734863252228,19.178706282941,18.4300809702355,19.0605657112675,18.9454006037754,18.3970113838422,18.6183180866248,18.5450738916558,18.4857921770279,18.5380427284073,18.4622874808423,18.5345123581783,16.9207790309644,16.6512516152283,16.3887505147747,17.1626185962739,16.666857943802,16.7774518422021,-0.956264569267021,2.10968751304225e-10,8.92816789350744e-10,-2.26601842603914,3.39461563363256e-33,9.05608015150196e-31
"P22314",19,6,20,9,10,14,25,29,24,26,25,21,17,18,20,20,19,22,17.8670346360567,16.0326531235241,17.8114559921051,16.3771690020725,16.300806170433,16.8261422962012,18.9226339206226,18.6341778896287,18.6159671017115,18.6424372278588,18.3813764169778,18.7630708654391,17.9047987176143,17.8757906802443,17.8144656336026,18.5545058014908,17.8324757316991,17.9092258060544,1.0570000214288,9.63801356682594e-07,2.43273969275858e-06,0.830919355821719,0.000109917863427538,0.000434067088963024
"P11766",10,2,8,5,3,7,14,13,13,10,10,9,8,7,8,8,7,8,18.5253501115068,16.4410463796377,18.5506434173195,16.8789702509667,16.5794253387243,17.3580434116766,19.8154752489818,19.5212423120688,19.5822829880742,19.6425242515147,19.1213505096386,19.576822175283,17.9865140280254,17.8417971298823,17.7951743070661,18.7243524598947,17.6702789775052,17.7602403534703,1.44520142002827,3.18537589804516e-07,8.56069772599637e-07,0.304188280345702,0.264277102570174,0.353104798703944
"P13804",6,5,4,5,6,6,10,10,11,10,10,9,6,6,7,6,6,6,17.7100990152008,17.5548199175363,17.4090565931772,17.5777467538072,17.428971481621,17.3592431023864,19.7494434134576,19.2440946713548,19.2074979451068,19.5567752711144,19.3113304916635,19.460069207436,17.9973705735769,17.6627347270957,17.5480179640605,18.633928897973,17.6469702190119,17.6535102939241,1.36560910860804,1.39888841723724e-49,1.77290700458277e-47,0.180910055545077,0.0048063759006589,0.0117039640339574
"Q15084",25,26,23,23,28,25,20,21,21,20,21,18,25,23,24,23,22,23,20.8336138055276,21.5627644371627,20.4810102707532,21.4524948698474,21.3767715231865,20.7953635490844,20.4368089047753,20.0299352795743,19.7932239367408,20.0513845871293,19.8862169194712,20.1546219284808,21.066592257998,20.5281027875528,20.4292694651208,21.5228836406559,20.7361108201888,20.7371251040542,-1.64654648000592,6.04553856195934e-18,6.06569035716587e-17,-0.447920227486127,0.0142198063888547,0.02927102683999
"P10809",53,58,47,61,55,52,41,39,37,41,37,42,44,47,48,51,44,52,18.8676367231476,19.6854116661963,18.5543353915387,19.5579123140377,19.4508413388448,18.9393014013785,18.4919999554928,18.0288535622655,17.9854012553309,18.2725788606131,18.0869308571559,18.3673466665135,18.8614197669914,18.5334869657778,18.4534810640192,19.4900962132231,18.7819314603263,18.7648898006133,-1.56275511449864,2.5218062698506e-17,2.36284416256819e-16,-0.608452943537586,0.000782566123804536,0.00240425552804498
"P49321",1,NA,NA,NA,NA,3,15,15,14,16,13,14,11,9,10,11,10,10,16.6251928674516,15.5763678485307,16.1524894379964,15.9470610900463,15.8573442625287,16.4112077432834,18.7695204585633,18.4394997255588,18.433807201049,18.6724451927645,18.1936230704211,18.5111311080288,17.463838891171,17.2687800105378,17.1818465726177,17.9552322963898,17.2955966999356,17.1412746825286,1.81388128096554,2.06195063994302e-34,1.07938633499626e-32,1.02790701218245,8.06585055293101e-15,1.62511126337091e-13
