"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"P05023",14,14,14,14,14,13,8,8,12,7,13,10,11,12,12,11,12,14,19.6801497345922,19.7130372624536,19.3932378956535,19.6172403953853,19.3561578202863,19.3027018099478,17.9992059869936,17.6456315918318,18.3271664847397,17.8426174251675,18.8095184655046,18.9063671961359,19.0012791077215,19.0795046313116,18.9890484858741,19.785213743382,19.2495401111673,19.1983024940594,-1.79383861595032,5.25593515876717e-19,5.99824258877315e-18,-0.474450525458196,0.0100809123318277,0.0216496158396407
"P43686",7,3,7,2,2,5,7,7,6,10,7,11,6,7,6,6,7,7,16.8778619471415,15.1370370569667,16.7948719679042,15.1778239871775,15.1337581427428,15.5503578624267,17.8294926792289,17.3891538221468,17.1387376081386,17.545058049897,17.2149030697161,17.5548141721923,16.7137170929155,16.6576845396667,16.4842172902974,17.0896847961203,16.7188103847705,16.4278895077527,0.869587569871196,0.00019281346989706,0.000355237058540261,0.597695799587294,0.00878039857297583,0.0193056199392994
"O00487",2,2,3,2,1,2,2,3,2,2,2,2,3,1,2,2,2,1,17.9548344616277,18.0611925530706,18.3120528457465,17.9357175103159,17.8256955594107,17.7723090986388,18.7677916381521,18.4841463170734,18.2179630386576,18.4588267579275,18.3454528011158,18.550066427214,17.9942097155998,18.2856393731187,17.7668221517156,18.0327983113067,18.1680248989445,18.234196129962,-6.40018348211923e-10,0.999928477516319,1,-4.05055482417484e-11,0.999995473477557,1
"Q9NXG2",1,NA,NA,NA,NA,NA,5,7,6,3,1,2,2,NA,2,1,NA,2,15.4172780237705,NA,15.0142712937197,14.1379439981669,14.8723823932659,15.2231851508663,17.5239074814189,17.3913252916573,17.3380943864669,17.2488668082177,17.0718908803614,17.4560317049573,16.618773008344,16.410690737373,15.9842393905442,17.1218941258462,16.475392044959,16.4494288172411,1.69642328311245,6.0968717136669e-21,8.73884945625589e-20,1.33383332339828,3.69987978398348e-16,8.38057675598523e-15
"P35270",NA,NA,NA,NA,NA,NA,2,4,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,15.8225940863914,16.9677434842666,NA,15.944820569695,15.4459238907675,18.5831263493575,18.4058019919566,18.0251384179182,18.1705883435844,18.0574758135265,18.7201094614405,16.8727681741955,16.7886652475656,17.01199072337,18.0085785728226,17.0414601160415,17.1731042409016,1.64018521384971,7.43948278231979e-10,2.85259148723345e-09,0.917980888082697,9.89199975928333e-06,4.86694496353264e-05
"Q9BQE3",2,1,2,2,NA,1,4,3,3,3,3,3,2,2,3,3,2,3,18.6844460570958,15.6392170592766,18.3228935292668,16.2744478224601,15.6888328481778,16.9023619909656,19.957409896448,19.801452563854,19.5071745628476,19.580474522587,19.2807751753634,19.7143121968719,18.3357576107814,17.8855576948505,17.8216892887933,19.0035415785319,18.3294532168874,18.2005036432153,1.91366345969607,3.83478648552967e-06,8.91328750690681e-06,0.977897376373061,0.00863672641323197,0.0190770746257313
"Q16891",11,8,10,10,9,8,NA,NA,6,NA,7,5,6,7,4,6,9,9,18.6144796675146,18.4370523733647,18.4583303073779,18.0638027935909,18.0612957733198,18.1141009445933,NA,15.0206618962832,17.1391699988307,15.5005315344574,17.54257772224,17.2629267367942,17.4467800509351,17.380222178491,17.0269034437862,18.4762994606047,17.840978233257,17.0790257131907,-2.15157817330858,9.68828997551896e-10,3.65664612242158e-09,-0.937766608777273,0.00211480282595623,0.00573714120939078
"Q7L2E3",NA,NA,NA,NA,NA,NA,3,2,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14.1957137159317,NA,NA,NA,17.2001815820683,16.015476116335,16.0907164692681,16.4616816952595,16.5636255255592,NA,14.1733753405907,14.3208314912042,NA,14.4068669546035,13.6453308167945,NA,1.60836473062022,2.32940264164297e-05,4.79009526991996e-05,-0.372764570254345,0.18122911226656,0.255808993857737
"P09104",NA,NA,NA,NA,NA,NA,3,4,4,4,2,2,3,5,4,6,4,4,16.345762466519,15.852383520542,15.8796103355727,15.8541929422298,16.1890279374025,15.9984267266508,17.3338502328383,17.22296673804,17.245928359808,16.8886979029531,16.7682115273655,17.3551550830447,17.6621445463471,17.6043338091559,17.2692405526101,18.3399633550043,17.6087662594519,17.315344595738,0.474431570826464,6.47293940144321e-05,0.000126209215211945,1.39185208925557,1.66544565559411e-19,5.55379863761314e-18
"P62906",4,2,3,3,3,4,10,10,9,9,10,9,3,3,4,3,3,3,17.2400070272943,16.4930429442211,16.8087316528627,16.6664642200159,16.3882339245353,16.5284041507954,19.6245279027062,19.4793041786077,18.8711075447377,19.1883387645213,19.1273713605053,19.4791094035099,17.0769259396721,16.9360837340279,17.003317829747,17.848855738659,17.1603530776915,16.9957646316943,1.95594955355199,1.01993174582956e-49,1.36444202442088e-47,0.201912874618031,0.00992647371563964,0.021375303489911
