"protein_group","number_of_peptides_Cu.complex_1","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","differential_abundance_pvalue_DMSO.Cu.complex","differential_abundance_pvalue_Mn.complex.Cu.complex","differential_abundance_qvalue_DMSO.Cu.complex","differential_abundance_qvalue_Mn.complex.Cu.complex","abundance_Cu.complex_1","abundance_Cu.complex_2","abundance_Cu.complex_3","abundance_Cu.complex_4","abundance_Cu.complex_5","abundance_Cu.complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn.complex_1","abundance_Mn.complex_2","abundance_Mn.complex_3","abundance_Mn.complex_4","abundance_Mn.complex_5","abundance_Mn.complex_6"
"sp|P61221|ABCE1_HUMAN",3,4,8,7,0,1,0,0,0,1,0,4,0,0,0,4,3,3,0.481102067932172,0.0127124880669558,0.558644401234181,0.0462174288351331,21.4255772556281,NA,22.1065287815426,NA,NA,NA,22.0209816764849,22.4075277042913,20.7963066593568,21.9099151265974,23.2786745122976,22.7375042711829,NA,20.0810090694811,NA,NA,NA,19.1903623083937
"sp|P61224|RAP1B_HUMAN;sp|A6NIZ1|RP1BL_HUMAN;sp|P62834|RAP1A_HUMAN",3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,2,3,4,0.370955062829909,0.321060200589269,0.452472953260036,0.469624330229547,24.3099015161357,21.9613289974233,24.0907421880851,23.090320054318,23.0949693011821,23.5448826621459,22.3721885661276,22.6200397124972,23.617984517001,22.2454726601881,23.3001317243968,23.8442949155235,22.906659376305,23.9091749560003,23.8463381022146,23.5986113336927,24.1455487377092,24.0119086084797
"sp|P61225|RAP2B_HUMAN",2,0,2,1,2,0,1,2,1,2,0,2,0,0,1,0,0,0,0.0364889237112301,0.136438270452691,0.0603259090502247,0.259497642540604,22.3638498828873,NA,22.2184824045071,NA,NA,20.3921855873986,NA,NA,NA,NA,20.5047997345895,19.7834520032439,21.2055918589014,NA,20.2441510917409,20.6370838450556,NA,21.1496976649867
"sp|P61247|RS3A_HUMAN",6,5,6,6,4,3,3,2,3,4,2,5,2,2,3,6,5,5,1.17459395288506e-06,0.881666450070207,9.50265763522587e-06,0.9325925538319,25.1410481786917,23.2349360845267,25.5739757466562,23.7937651221441,23.5355941879551,24.6042095661726,26.8610119530424,26.3119381799674,26.3964339544129,26.542751272854,26.7421544424441,26.7841091328753,24.2713212457222,24.1873559986926,24.2758058091827,24.1302079051112,24.2520242072943,24.4709730305152
"sp|Q9UNX3|RL26L_HUMAN;sp|P61254|RL26_HUMAN",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9932018860546,23.8109526373883,NA,NA,21.0368149345516,NA,NA,NA,NA,NA,NA,NA
"sp|P61289|PSME3_HUMAN",4,6,3,2,3,3,1,4,3,3,2,1,1,1,1,4,5,3,3.43258818004096e-06,4.9828138990929e-05,2.35757927380895e-05,0.0006972380305945,22.6551130613776,20.4455798840692,20.286894630091,NA,NA,20.8831065555491,24.1075933865776,23.9583190767556,23.7604583174658,24.2310180444584,23.5385348517298,23.3559644296192,22.8385959608772,23.1218456138559,NA,23.3666130850651,23.7156490991322,23.6353924918988
"sp|P61313|RL15_HUMAN",3,3,4,4,1,1,1,3,3,4,3,4,2,3,3,4,4,3,0.000639340369592818,2.37919253758353e-05,0.00172412279996752,0.00037587404686501,23.8959056450452,22.9131579111859,23.5359233106785,22.8967754932791,22.7914969789877,23.0310466052175,24.9060315982975,24.8632868784861,24.2423027289688,24.2348226221931,24.5841289670326,24.8229454338477,20.8956656221574,20.4667060935646,20.9329472426091,20.3547512073544,22.1796514785479,22.5430479723275
"sp|P61326|MGN_HUMAN;sp|Q96A72|MGN2_HUMAN",4,1,5,3,4,1,1,3,4,4,1,3,0,1,2,4,5,2,0.00558626622648196,0.0384190314128419,0.0117186923815892,0.10362584126727,23.6335759147633,20.7271686187643,22.7259737650944,NA,20.6690232229065,22.6756395344713,24.1743171250336,24.1912890455621,23.3741939584479,22.8089282775773,24.0096984968677,23.8709424918638,23.8667119603371,22.1453593789152,22.3262295174826,23.2632118698199,24.1360401985184,23.8139329353663
"sp|P61353|RL27_HUMAN",2,3,3,2,2,1,3,2,1,1,2,2,2,2,1,3,3,3,7.54001405822912e-05,0.00420831350895305,0.000284588675926277,0.0200586038054478,24.1441984639021,23.6069457511533,23.4922820946639,24.01480742459,23.6530676863501,22.6229522437991,25.8362162850048,26.3161254181008,24.7169755559905,25.631289469921,25.6308928717525,25.0218427355868,23.0065139529172,21.4466215757935,23.5831595638025,22.7273256888089,21.6362419488933,21.625396266733
"sp|P61421|VA0D1_HUMAN",2,1,0,1,2,1,2,2,1,2,2,1,3,3,1,1,0,0,7.16473715878107e-05,0.447052851618473,0.000272508500027627,0.585851169933091,22.7712540982252,22.4644752554334,20.7927349734928,22.8728610147252,22.4530475184029,21.3984758537574,19.8782490557227,NA,NA,19.5991596835595,NA,19.8943483991077,22.2897349516977,21.2103550333667,22.1669396339149,21.5502698647714,21.4745955299255,22.3846787738109
"sp|P61457|PHS_HUMAN",2,4,3,3,2,0,2,2,4,4,0,0,0,0,0,4,5,5,0.0303473584200114,0.213313825376021,0.0515983510087016,0.351258955132015,22.2866467249145,NA,NA,NA,NA,NA,23.4351323822095,24.4878986319791,24.1729320377368,24.152204000818,22.9038923457299,23.7591008918015,23.113223591034,NA,22.5507708447787,22.5312883583595,23.7344790669642,23.6832336811518
