"","protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_infected_1","abundance_control_2","abundance_infected_2","abundance_control_3","abundance_infected_3","log_ratios_infected..vs.control.","differential_abundance_qvalue_infected..vs.control."
"434","sp|Q9R1T4|SEPT6_MOUSE",3,1,1,2,2,4,23.1584867293728,22.3588012824635,22.9142953405163,22.0969251848307,22.0493020057866,23.1412973464409,-0.175020087313534,1
"435","sp|D0QMC3|MNDAL_MOUSE",6,4,3,3,2,4,22.7934725353024,21.8447391857061,22.6188767796001,21.5989881941542,21.9846673038744,22.9993795251704,-0.317969904582066,1
"436","sp|Q9R1T2|SAE1_MOUSE",4,3,NA,1,2,4,22.2664266991825,21.5280974345106,21.6423954967226,21.2305845819951,21.1783925306215,22.5738644199834,0.0817772366541666,1
"437","sp|P62301|RS13_MOUSE",5,4,2,5,1,4,23.7017450314124,23.094654722005,23.682853924308,22.7252006444367,22.2276453193011,24.3204376803675,0.176016257262567,1
"438","sp|Q8VEM8|S25A3_MOUSE",4,4,3,3,4,4,24.3820978425297,23.7555234175327,24.0020549323687,23.3677911860852,23.4920712608461,24.5836769884517,-0.0564108145583001,1
"439","sp|P97821|CATC_MOUSE",3,3,3,3,3,4,23.1028857407554,22.2361434212344,22.2033971457112,21.6172778905182,21.6840351226727,22.651782998493,-0.161704566297901,1
"440","sp|P97822|AN32E_MOUSE",3,3,3,3,2,3,23.1780529699274,22.591512188524,22.5800049050527,21.8278266596579,21.3980745788099,22.9474469939044,0.0702177960987669,1
"441","sp|P30416|FKBP4_MOUSE",3,2,1,5,2,2,22.2599292735208,21.9733866221945,21.9984743954623,21.4761958935476,21.0624653476664,22.4630844047766,0.1972659679564,1
"442","sp|Q9DCH4|EIF3F_MOUSE",3,2,4,5,2,2,21.9926263505471,21.6925070647923,21.8982434951378,21.5435002304798,21.1409879337396,22.3518516725296,0.185333729459067,1
"443","sp|P53994|RAB2A_MOUSE",2,3,1,2,4,4,22.3350753119764,21.8824840936564,21.993160314766,21.5299078078092,21.1718080903089,22.290674047637,0.0676740773504333,1
