"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|Q9D8U8|SNX5_MOUSE",3,2,3,5,5,5,0.00333862841371458,0.132483234619034,23.1186247904139,23.1976757147478,23.5875685134647,24.1547901815463,24.1669177520792,24.1421388333005
"sp|Q9D8W5|PSD12_MOUSE",3,2,2,3,3,3,0.122612653469079,0.45171180849826,24.7301935901091,22.8689825415868,25.2240907829214,25.3945801972788,24.96616391653,25.7576426238502
"sp|Q9D8Y0|EFHD2_MOUSE;sp|Q9D4J1|EFHD1_MOUSE",2,2,2,3,3,4,0.984536269854858,0.996533056246266,22.8449537303171,23.917802443982,23.9451312663691,23.042412569991,24.6069128912521,23.0266424556933
"sp|Q9DAR7|DCPS_MOUSE",7,7,7,6,5,6,0.0464542826063702,0.321364624664124,26.2089214472304,26.3207911566244,26.558303683385,25.8465823246953,25.3002068668178,26.0875622658191
"sp|Q9DB05|SNAA_MOUSE",3,3,3,3,3,2,0.333910386471367,0.656075282281444,23.2616362640283,23.5684753186551,23.4711169974124,23.0800779343743,23.413292549308,23.2415787033703
"sp|Q9DB20|ATPO_MOUSE",4,4,4,3,4,3,0.934109434858004,0.978890122651869,25.6489736655487,25.4689001921736,25.4316792139488,25.3558063980893,25.6852813524282,25.4635265132911
"sp|Q9DB77|QCR2_MOUSE",12,12,12,12,13,12,0.272713660431605,0.604441917756972,27.2198047549005,27.1559211814446,27.1629126057812,27.0266357001954,27.0863320736033,26.8592527693839
"sp|Q9DBC7|KAP0_MOUSE;sp|P12849|KAP1_MOUSE",3,4,5,3,2,4,0.438103771556349,0.7354514198267,24.2378066479818,24.5104328925179,24.8144456226414,24.3762778388927,23.6902354991615,24.7219765063996
"sp|Q9DBG6|RPN2_MOUSE",7,6,6,6,7,7,0.0179917110032263,0.214673466726595,25.6723322161219,25.3072845281562,25.6203029048672,26.0146640325595,26.0913112812714,26.518495552023
"sp|Q9DBH5|LMAN2_MOUSE",2,3,2,6,2,6,0.564852042627447,0.809382575573471,23.5486184798077,23.4522338375283,23.1211794135834,24.5766349222093,22.0375044676686,24.8448097092061
"sp|Q9DBJ1|PGAM1_MOUSE;sp|O70250|PGAM2_MOUSE",12,12,10,13,11,12,0.434167439606705,0.73448076843624,28.1074836830798,27.9473161800646,27.4529217982977,28.2229797830833,27.7922266427202,28.0869427838821
"sp|Q9DBP5|KCY_MOUSE",7,7,7,7,7,7,0.743565214159462,0.89934210355843,25.722673719694,25.4799833893627,25.3347865442239,25.5848185960687,25.3867693054614,25.7634087688258
"sp|Q9DBR1|XRN2_MOUSE",4,4,4,3,4,3,0.0246077225214019,0.235855555858975,24.7423948254034,23.9952024179894,24.753585962299,23.3567141699859,24.0633569684049,23.2600237864616
"sp|Q9DBS1|TMM43_MOUSE",3,3,3,4,4,4,0.0776111088542824,0.382577939503337,23.7157521524293,24.0946668658743,24.0935708910701,24.4318449473675,24.1902033272467,24.4991032988951
"sp|Q9DBZ5|EIF3K_MOUSE",2,2,2,2,2,2,0.127349759331066,0.45728472658936,23.3501142196881,23.6409672411632,23.4886444635936,24.0382074041731,24.0233243474257,23.5235348449078
"sp|Q9DC51|GNAI3_MOUSE",1,1,1,1,0,1,0.489426572207544,0.761902816619,22.0025914921299,21.4528802652814,20.6390567958174,21.7319170579156,NA,21.6280172197817
"sp|Q9DC69|NDUA9_MOUSE",2,2,1,2,1,2,0.314958269270982,0.636067137542118,23.7466226408697,24.2842308094177,23.0009381237744,23.6285091680735,22.1901601515284,23.5771554151977
"sp|Q9DCD0|6PGD_MOUSE",9,9,9,10,10,9,0.618424051419018,0.831203600271851,28.0879493437898,28.1565183899911,28.3330447621894,28.7326480843853,28.5349408817571,27.7570234534988
"sp|Q9DCE5|PK1IP_MOUSE",1,2,2,1,2,2,0.515622747780891,0.775175568255749,21.3866053036127,21.956337744465,22.1082026758925,21.0904389295568,21.6320819413354,22.0671183745742
"sp|Q9DCE9|IRGM3_MOUSE",1,1,3,2,2,2,0.0922821628429083,0.421050304136796,21.1331429680886,21.6157667795959,22.9305372865029,22.3562975587214,23.3133287928018,23.0108641910423
"sp|Q9DCH4|EIF3F_MOUSE",4,4,5,5,3,5,0.940960838031741,0.981570857118304,24.4229957180244,24.362130655254,25.1083362278519,24.935474599141,24.0050328120489,25.0349627342087
"sp|Q9DCJ5|NDUA8_MOUSE",3,2,3,3,3,3,0.718368558415373,0.887680962031527,24.9944033076501,23.3929609356984,24.0830085937332,24.6144551239102,24.03142023263,24.2987502174111
"sp|Q9DCN2|NB5R3_MOUSE",4,5,5,5,5,5,0.40405989193888,0.715140092835006,24.3106314920156,24.4825064560661,24.7106880038612,25.036629623084,24.5862269856102,24.4732459903945
"sp|Q9DCS9|NDUBA_MOUSE",2,2,2,2,2,2,0.0252195427786345,0.238369402005101,22.1080795761788,22.1876707950321,22.2704797881053,21.247792633284,21.9567155308127,21.2678421456199
"sp|Q9DCT2|NDUS3_MOUSE",2,3,3,4,4,4,0.0786096098158375,0.383371522239083,23.3413899739475,23.5138788218016,23.7073591329142,24.1901177347156,23.726606052036,23.9052946448591
"sp|Q9DCW4|ETFB_MOUSE",6,6,6,5,6,6,0.846723610526465,0.94164993837088,25.3997235109066,25.4600552836458,25.2216236880688,25.4454086365727,25.4017614002714,25.3306501993581
"sp|Q9DCX2|ATP5H_MOUSE",7,7,6,5,6,6,0.81047712976542,0.929231453374433,26.3889214949908,26.2736657715542,26.0054628213265,26.2769125069376,26.0464339261153,26.2091602740685
"sp|Q9EP69|SAC1_MOUSE",1,2,1,1,0,2,0.4099716926555,0.717355743103381,21.1067988880869,21.7456776463629,20.525167466825,18.4419770649927,NA,21.9320976130796
"sp|Q9EQH2|ERAP1_MOUSE",2,1,1,1,1,2,0.610132982040266,0.828886274251349,22.9627713940034,22.2278684203935,22.1015629364114,22.1045759549239,22.2443520529225,22.5007270716656
"sp|Q9EQH3|VPS35_MOUSE",4,4,4,4,4,4,0.133565564740049,0.467479476590173,24.5973498028115,24.4922054791825,24.5663953144487,24.1954511790187,24.4927894349553,24.0004389072438
"sp|Q9EQP2|EHD4_MOUSE",1,1,1,1,2,2,0.0673185627887765,0.368876016174299,20.9103835621657,20.8651384661163,21.6035549038102,21.2225451494124,22.5308084297416,22.2566509452683
"sp|Q9EQU5|SET_MOUSE",7,8,8,8,8,9,0.338290189382576,0.660380127443402,28.1154656158854,28.5477527797871,28.7563796726651,28.3971772598953,28.6546697836021,29.2965182111166
"sp|Q9ERK4|XPO2_MOUSE",5,4,5,5,5,5,0.0202476652189037,0.216956306631472,24.1087194941494,24.193455736656,23.9411479867542,24.5819898125176,24.5064643718524,24.6459808810072
"sp|Q9ERN0|SCAM2_MOUSE",0,1,2,2,2,1,0.717775739197841,0.887680962031527,NA,21.2325608423818,22.6795853808552,23.0607381800419,22.2505762991202,21.3120855493141
"sp|Q9ERU3|ZNF22_MOUSE",2,2,2,1,1,1,0.000705482536809885,0.0976701378739018,22.9752318255767,23.3024773636444,23.802444329802,21.6003884779361,21.6185420062498,22.0105367837503
"sp|Q9ES52|SHIP1_MOUSE",4,3,2,3,4,4,0.233909046431634,0.575539084312058,23.5982858646224,23.5421667523759,22.5819436648949,23.3277123348231,23.6317163741385,24.191021609448
"sp|Q9EST5|AN32B_MOUSE",4,4,4,4,4,4,0.782243643927357,0.92172091682455,27.5905860336324,27.4741134148517,27.6849726531478,27.834174284888,27.2269956498151,27.5083304048583
"sp|Q9ESX5|DKC1_MOUSE",11,10,10,9,9,10,0.568448185210695,0.811324672133478,26.3778246942016,26.320364833145,26.5482233557191,25.9472299019936,26.4177521118753,26.5051495267752
"sp|Q9ESY9|GILT_MOUSE",2,2,2,2,2,2,0.145930844641167,0.473946780719821,24.7104544057179,24.1956030307231,24.0644052710565,24.4996361944432,24.8373457120123,24.7783159633502
"sp|Q9JHI5|IVD_MOUSE",4,3,2,3,3,3,0.0348724174247651,0.276357985154123,24.0539399199624,24.1923808899272,23.5699296675838,22.5020728728936,23.2689055601806,23.4925808532722
"sp|Q9JHJ0|TMOD3_MOUSE",5,5,5,4,4,4,0.0866416255504104,0.402818900879893,24.5959649458054,24.799254564904,25.0374460163528,24.5094386091073,24.0759129360127,24.5416888106845
"sp|Q9JHK5|PLEK_MOUSE",4,4,3,4,3,4,0.979873121841238,0.996533056246266,25.0089838767216,24.2984202695988,24.0753774318686,24.1948687929616,24.2598420360267,24.9026844744283
"sp|Q9JHR7|IDE_MOUSE",2,2,0,2,1,2,0.380446766072985,0.695842825914194,22.3957916631295,22.5867626751077,NA,22.3013654845995,21.0924552273569,22.6580426332809
"sp|Q9JHU4|DYHC1_MOUSE",6,8,9,8,8,9,0.510744823588069,0.772315594891667,23.7803650663494,24.9895207258869,24.6801065954563,24.5156480662832,24.9517834091054,24.6912321546747
"sp|Q9JHW2|NIT2_MOUSE",2,2,2,2,2,1,0.18899954113571,0.518893853690654,22.68139793652,22.7308097356988,22.2970630985911,22.3716915042025,22.4741689832006,21.6177690545889
"sp|Q9JI11|STK4_MOUSE;sp|Q9JI10|STK3_MOUSE",6,4,5,6,4,4,0.124249731671025,0.45171180849826,24.6978269628484,23.9593401624182,24.8493825461323,24.356922430512,23.6333686365866,23.8475971174917
"sp|Q9JIF0|ANM1_MOUSE;sp|Q6PAK3|ANM8_MOUSE",6,6,6,7,6,6,0.784285834838772,0.92172091682455,25.303562127796,25.4236347511045,25.6020666461546,25.7584820689191,25.7908036910173,25.0036693191959
"sp|Q9JIF7|COPB_MOUSE",1,1,1,2,2,1,0.225117845538131,0.559873923234554,22.4292393946439,22.4056056674948,22.9659312701102,23.5701698760451,23.1940838601805,22.4121116296595
"sp|Q9JII5|DAZP1_MOUSE",4,5,5,4,4,5,0.386684810767696,0.70132354325553,25.7043624203518,25.5732451096677,25.1930705856184,25.0268460754478,25.3282366296008,25.50105429624
"sp|Q9JII6|AK1A1_MOUSE",3,3,3,3,3,3,0.102033473640903,0.426623181733441,24.3686468811283,23.9780066056491,24.2423998853099,23.6675312299687,24.1242810932279,23.4650897127618
"sp|Q9JIK5|DDX21_MOUSE",15,16,12,15,13,16,0.702293038807348,0.874189743462953,26.5984892759786,26.6593131903328,26.2385308835888,26.5983295166881,26.4116548420371,26.7187039963974
"sp|Q9JIX8|ACINU_MOUSE",5,5,4,3,4,3,0.137947583110022,0.471486406127589,24.7696386597563,24.6932695680751,24.4326394813634,22.7282879812147,24.6346224571421,24.0835420946148
"sp|Q9JJ28|FLII_MOUSE",0,2,1,2,1,2,0.762406287974546,0.911668171608718,NA,21.2330626978461,21.3593460566156,22.1649869126964,19.5723139157107,21.4171748581208
"sp|Q9JJI8|RL38_MOUSE",2,1,2,1,1,2,0.660477879995629,0.847533922218903,22.8797811977002,23.5119271391982,23.7677755446808,21.943540028993,23.654239472845,23.8142925276714
"sp|Q9JJU8|SH3L1_MOUSE",3,3,3,3,3,4,0.48461059688745,0.761443636471328,24.6172421102297,24.7352055252425,24.9238904106388,24.2916557611777,24.98936258998,24.4773069023105
"sp|Q9JK81|MYG1_MOUSE",3,3,1,1,3,3,0.789776283405809,0.92172091682455,22.6288480091637,21.7942094296253,21.5067723162343,21.3958693590435,22.4951853724053,22.3832610043442
"sp|Q9JKB1|UCHL3_MOUSE;sp|P58321|UCHL4_MOUSE",4,4,3,4,4,3,0.768716536882273,0.916574932971591,23.636665791143,24.272276104079,24.0256148084441,23.4377639936421,24.2039536148965,24.036571572937
"sp|Q9JKF1|IQGA1_MOUSE;sp|Q3UQ44|IQGA2_MOUSE",25,26,24,23,22,26,0.7404838336028,0.89934210355843,28.1759404668638,28.2254394104907,28.4494337671679,27.9242000689448,28.4795468021322,28.2334072487424
"sp|Q9JKR6|HYOU1_MOUSE",5,5,4,4,4,7,0.0718586790969458,0.374627255877801,24.4652345552161,24.4217404478497,24.4756172249317,24.8776554258838,24.6891818741715,25.7888179850432
"sp|Q9JL26|FMNL1_MOUSE",4,3,5,5,3,5,0.0307457687947726,0.266052813070946,24.9341421967347,25.374346067644,24.9184167231461,24.8045004000017,23.9361644088284,24.1559254726382
"sp|Q9JL95|PRG3_MOUSE",2,3,3,3,3,0,0.581245412580518,0.818340998955169,26.1237216574886,26.079669780654,25.6601121949706,26.1628742007835,26.0191681644963,NA
"sp|Q9JLI8|SART3_MOUSE",4,4,3,3,3,4,0.808534864955713,0.929231453374433,23.4813839641092,23.4777500238801,23.4788231003247,23.4493902217532,23.0715366262543,23.7541116685156
"sp|Q9JLJ2|AL9A1_MOUSE",10,10,9,8,9,10,0.138619847838093,0.471913471055365,25.7672883747052,25.3966054835085,25.9100904479789,24.8430821806207,25.1681786814955,25.6804475526314
"sp|Q9JLV6|PNKP_MOUSE",2,2,2,2,2,2,0.158033452479643,0.486533125622855,23.573748666275,24.0524811601709,23.2705036577795,23.8587663859416,22.1571438949564,22.647844357297
"sp|Q9JM14|NT5C_MOUSE",6,6,6,6,5,5,0.118562338065906,0.447662646151876,26.0961838444238,25.3993095759175,26.1753001768868,25.0214601700641,25.2845703319437,25.7509113258846
"sp|Q9JM76|ARPC3_MOUSE",3,3,3,3,3,2,0.395306829916531,0.707690100683905,26.0520102900095,25.8027569097211,25.9882582640204,25.7973658412775,25.937740369147,27.1151452144289
"sp|Q9JMA1|UBP14_MOUSE",4,4,4,3,4,4,0.414343445483491,0.720044537060571,23.6560268901834,24.3747567363761,24.026039026543,23.9016126413657,24.3668527415512,24.4730632088104
