"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|Q3TYS2|CYBC1_MOUSE",4,4,2,3,4,4,0.962020148889528,0.992282372116185,24.3243228268082,24.1953169094388,22.9245731636616,22.8116812498719,24.0788308914609,24.4714171316329
"sp|Q3U0V1|FUBP2_MOUSE",12,13,13,13,13,11,0.67556680463461,0.852313769027206,26.7889461773932,26.1489200296481,26.6778811330761,27.1033396040901,26.4902492469225,26.3889738097431
"sp|Q3U1J4|DDB1_MOUSE",8,7,7,7,7,6,0.181569966481855,0.514173132355435,25.4501877754324,25.3069204076626,25.2108424603868,25.3290247137686,24.9614284857673,24.7424433171599
"sp|Q3U1Z5|GPSM3_MOUSE",2,2,2,2,2,2,0.335704414270145,0.656652590550393,23.8309639341341,24.297354222321,23.9077750081569,23.5270622724202,23.1706644164776,24.3154129548608
"sp|Q3U2S8|HVCN1_MOUSE",2,2,1,2,2,2,0.388019899037365,0.702722084593832,22.8949647974742,23.4768086241463,23.1076149003533,22.9788614396226,23.1786945631272,22.6816304966
"sp|Q3U7R1|ESYT1_MOUSE",14,14,13,14,12,14,0.260996928679226,0.59378870950682,26.4258412712958,26.8665677182154,27.0199643629927,26.9005415414293,26.8991862912707,27.4298075272516
"sp|Q3U9G9|LBR_MOUSE",16,15,15,12,14,13,0.406524631936056,0.716623374521809,27.7395847535485,28.0419977223062,28.2927007021375,27.5677299621807,28.1037705857036,27.7886252163
"sp|Q3UEB3|PUF60_MOUSE",2,2,3,3,3,2,0.105150037711044,0.433542270844012,23.6916241047731,23.2417061927711,23.7955271381851,24.8471119095485,25.0236878229785,23.41696582834
"sp|Q3UGC7|EI3JA_MOUSE;sp|Q66JS6|EI3JB_MOUSE",1,0,1,2,2,2,0.309900908649042,0.635732866826367,21.8729364528189,NA,21.9517705323919,22.7819434028594,21.8655742635829,22.1595873391896
"sp|Q3UGR5|HDHD2_MOUSE",2,2,1,1,1,0,0.00283681303519597,0.130993333719095,21.0959129985646,21.1021340580987,21.0356213300628,20.1681777408916,19.757159294347,NA
"sp|Q3UIA2|RHG17_MOUSE",1,1,1,1,2,1,0.195661201979322,0.52630221501821,21.4937197223715,21.6842040383196,19.5257275534215,22.0395981324459,21.7781418363722,21.4271728372546
"sp|Q3UKJ7|SMU1_MOUSE",4,6,4,4,4,4,0.666205125628539,0.851018234762798,23.8992643434298,23.2931489870779,24.398753097226,24.0918338573742,23.9812760618746,22.9618156469398
"sp|Q3ULJ0|GPD1L_MOUSE",1,2,1,2,0,2,0.235620442911075,0.576784031173279,21.8484608723419,23.0023018334251,22.4702443618785,22.5165006127302,NA,23.6815355803711
"sp|Q3UM45|PP1R7_MOUSE",4,2,2,2,2,2,0.0463128432331302,0.321364624664124,23.1211188418679,23.1406407379008,23.5165065106686,NA,23.6859092070475,24.1321603330679
"sp|Q3UMU9|HDGR2_MOUSE",1,1,1,0,1,1,0.389503520667958,0.703364328626487,20.7165020329186,20.7615732389704,19.5077284464066,NA,20.6752291873162,20.8022227266943
"sp|Q3UMY5|EMAL4_MOUSE",4,4,4,4,2,4,0.406623375430914,0.716623374521809,23.3586899576553,23.5108928255865,23.3889578140531,23.5119122405441,22.138514447626,23.5452575775757
"sp|Q3UP87|ELNE_MOUSE",5,5,4,4,4,4,0.0213435560948236,0.218846184267256,25.7135752922548,26.2116066648499,25.7730503324311,24.80390037937,25.374044917135,25.3215424055895
"sp|Q3UPL0|SC31A_MOUSE",1,1,2,1,2,2,0.32859787009736,0.649893565303667,21.0804309021762,22.1645301107257,21.191092158844,21.297619629806,22.0209959328803,22.3978162093817
"sp|Q3UQA7|SELH_MOUSE",1,1,1,1,1,2,0.438603116787339,0.7354514198267,24.7343461936438,24.4793959967237,24.0990920157136,24.1191898003354,22.3826001271611,25.1412476152924
"sp|Q3UV17|K22O_MOUSE",1,1,1,0,1,0,0.106729012091789,0.436379956973223,22.8455022835712,24.4281466064015,25.7223836418668,NA,21.9752251301132,NA
"sp|Q3UZ39|LRRF1_MOUSE;sp|Q91WK0|LRRF2_MOUSE",4,3,3,3,3,2,0.113531353207428,0.444842975146084,24.2403638320695,23.7697248966658,23.7366140962881,23.9255797382914,23.1257717141173,23.0804258625264
"sp|Q3UZA1|CPZIP_MOUSE",3,2,2,3,2,2,0.0554175130670742,0.349193614139481,23.4197301918704,23.6436960409774,23.3400959796966,23.6967375417542,23.9177693768404,24.1711035301557
"sp|Q3UZZ4|OLFM4_MOUSE",3,3,1,2,3,1,0.432588788712228,0.733340994197872,23.174924630835,23.1513300487469,21.3408236488581,22.5881234646798,22.6699445275863,20.5077215584312
"sp|Q3V3R1|C1TM_MOUSE",12,13,13,10,12,12,0.85594306167599,0.942142274600957,25.6508775141468,25.6892621497276,26.1714384771849,25.9982834677669,25.7427468034025,25.8878322056466
"sp|Q4KML4|ABRAL_MOUSE",2,1,2,2,2,1,0.731642793295172,0.896850684651648,25.3022140245605,24.1537323671602,24.2234127522986,25.4230626823944,24.8624889783981,23.9119849071728
"sp|Q4VA53|PDS5B_MOUSE",1,1,2,1,2,2,0.465767444973717,0.752691993077338,NA,21.830330931621,22.9639252321872,21.1645110785796,22.7769636686423,21.8818998526197
"sp|Q501J6|DDX17_MOUSE",9,10,10,10,10,9,0.881965515571736,0.958925857244663,25.819893430536,26.0180720826223,25.6300098887768,25.7032165683827,25.9157471964054,25.7660780937451
"sp|Q505F5|LRC47_MOUSE",1,2,2,2,2,2,0.258825227226287,0.59378870950682,21.122047340957,22.1559689672269,22.4283239337385,22.286760667249,22.4092550674514,22.3135358534666
"sp|Q569Z5|DDX46_MOUSE",2,3,3,3,3,3,0.724193899612001,0.892527793191447,22.9080221439122,23.5771758991098,23.161947871973,22.9463503334032,23.7305450216714,22.591101474309
"sp|Q569Z6|TR150_MOUSE",2,3,2,4,1,3,0.753129688778214,0.904045849920669,23.5824130317969,23.9388062511215,22.5954218842272,24.2970150479577,22.2673307105711,24.1731865194748
"sp|Q571I9|A16A1_MOUSE",1,2,0,1,1,2,0.917667430295925,0.972786238314961,22.1790652992026,22.0112694862774,NA,22.0045922028736,22.4019664596194,21.7968290319589
"sp|Q5FWK3|RHG01_MOUSE",3,3,3,3,3,3,0.097319300812043,0.422838068171796,23.6587605253261,23.7233476910283,23.7101073256321,23.9301857924456,23.9974040443766,24.0376225367396
"sp|Q5SQX6|CYFP2_MOUSE;sp|Q7TMB8|CYFP1_MOUSE",4,4,4,4,4,4,0.901436751562715,0.967433412960502,23.6143078823468,23.7533946957253,23.6497073298458,23.7769714193985,23.4218302678364,23.7506474515835
"sp|Q5SUA5|MYO1G_MOUSE;sp|Q5SYD0|MYO1D_MOUSE",7,7,8,5,7,9,0.0998416467110765,0.426036615760278,25.2957305535249,25.6966595627167,25.84209315783,24.8232475178973,25.517346169935,25.0139143206418
"sp|Q5SUF2|LC7L3_MOUSE",3,2,2,2,3,3,0.154706198041882,0.483117600902719,23.0706343469024,22.2069306369534,22.6720878482778,23.08884563194,22.8695968634005,23.2679475095083
"sp|Q5SUR0|PUR4_MOUSE",12,11,9,11,11,9,0.113004455537018,0.444842975146084,26.1548988961725,25.8335565085351,25.9288519699534,25.715363014152,25.7732576675967,25.3390240225522
"sp|Q5SWD9|TSR1_MOUSE",1,0,0,2,1,1,0.755397799723559,0.90502467159188,21.5141512942001,NA,NA,22.0105803850761,21.1520990373677,20.8450004124873
"sp|Q5XJY5|COPD_MOUSE",4,3,5,6,5,5,0.0536628360417069,0.342891762604958,23.9908744961699,23.7028623263492,24.5421807226212,24.8777591012847,24.6844386790762,24.511393039015
"sp|Q60597|ODO1_MOUSE",8,7,5,5,7,7,0.297554836473622,0.633084164192363,25.2349309298149,25.0364777453204,24.8625855368291,25.0684979533947,25.092351269732,25.9448962345837
"sp|Q60605|MYL6_MOUSE;sp|Q8CI43|MYL6B_MOUSE",7,7,7,7,7,7,0.12328826255385,0.45171180849826,29.0455905688588,28.7365887568059,28.8536409786091,28.3657827868883,28.3289843654718,28.8320300518645
"sp|Q60631|GRB2_MOUSE",5,5,5,5,4,5,0.362072852174565,0.680456672412531,26.1328789732936,26.128572276218,25.6483118780792,25.8487259437289,25.4833947409302,25.9218285652483
"sp|Q60648|SAP3_MOUSE",3,2,2,3,2,3,0.541068335070335,0.794298469615498,23.3036619372008,22.5702196375145,23.7265570482332,23.3027560937151,22.0161329659241,23.3780576030395
"sp|Q60664|IRAG2_MOUSE",1,1,1,2,2,1,0.19975771820675,0.531427427998675,27.788589648282,27.8529708592734,28.2404971456696,27.6760960821616,27.6659682902247,21.7617636491276
"sp|Q60668|HNRPD_MOUSE;sp|Q9Z130|HNRDL_MOUSE",7,8,6,8,7,8,0.126212500972553,0.454510913906939,28.4793696239236,28.3317664972997,28.2573815911434,28.0673166453873,28.1815695141244,27.9514385586074
"sp|Q60710|SAMH1_MOUSE",24,22,20,21,18,22,0.634674264584654,0.839494834047217,29.4235756105367,29.6358829118373,29.9591987385933,29.6563830602061,29.2707479450459,30.6635073785595
"sp|Q60737|CSK21_MOUSE",2,2,2,2,2,1,0.637141582727532,0.840972894150959,23.9743543119478,22.6027514442022,24.3844873420346,23.0285840035325,24.4476320869113,22.5289610999167
"sp|Q60749|KHDR1_MOUSE;sp|Q9R226|KHDR3_MOUSE;sp|Q9WU01|KHDR2_MOUSE",4,4,4,3,5,5,0.648785447526548,0.842069445435498,24.4625551233046,24.9802088450182,25.0840954720526,24.6803075079118,25.003190838303,25.1916882378962
"sp|Q60766|IRGM1_MOUSE",2,2,1,3,2,3,0.0018756089692639,0.123000461879096,22.5200392211305,21.9294095638847,22.5276541902754,23.8435599733195,23.2965016125329,23.6984425099571
"sp|Q60787|LCP2_MOUSE",2,2,1,2,1,0,0.182509609631659,0.515662071657703,22.8621337438586,22.8754440506015,22.3895074079832,22.071528578632,22.5240758748412,NA
"sp|Q60864|STIP1_MOUSE",12,10,11,12,8,11,0.960982654425599,0.992033460989475,27.1044432287597,26.9321036489823,26.9164349988772,27.2937940955245,26.7487139380639,26.9409862883414
"sp|Q8BMJ3|IF1AX_MOUSE;sp|Q60872|IF1A_MOUSE",2,2,1,1,0,1,0.357628353471403,0.676421711364846,23.3437216028039,23.106735862847,21.4966863426373,22.2543874562271,NA,21.8314901260811
"sp|Q60930|VDAC2_MOUSE",10,10,8,10,9,9,0.795629981727672,0.923403542978557,27.0749241418397,27.1991926036339,27.1128530131318,27.1345857881406,27.1896905321394,26.9312895510021
"sp|Q60931|VDAC3_MOUSE",6,7,7,7,6,7,0.216998740693107,0.552270870013845,26.5137760287588,26.2865998362963,26.541043359936,26.7820209543029,26.5562860962222,26.6960756879696
"sp|Q60932|VDAC1_MOUSE",9,8,8,9,8,8,0.46310600608047,0.749823367786825,26.3919758134561,26.5994845865039,26.5066000644233,26.8403716956885,26.4835488856028,26.5860776481641
"sp|Q60953|PML_MOUSE",16,13,13,16,14,13,0.573213958968984,0.814481168584646,26.4544418893764,26.2868348466591,26.31964000047,26.6002785313882,26.5805147991871,26.2065515457082
"sp|Q60972|RBBP4_MOUSE",7,7,7,7,7,7,0.574888913877259,0.814800382816534,24.7977245969565,24.517087613429,24.7228634569991,24.7572146816139,24.7206101022268,24.8509067793177
"sp|Q60973|RBBP7_MOUSE",1,1,0,0,0,1,0.605697383098902,0.828211825587269,21.9250425194916,22.1004848098253,NA,NA,NA,21.8336557362667
"sp|Q61029|LAP2B_MOUSE;sp|Q61033|LAP2A_MOUSE",13,13,11,12,12,12,0.617880715740258,0.831203600271851,28.1308763765706,28.1271011279196,27.4444834190388,27.7396528600373,28.0268341143667,27.5263892562005
"sp|Q61035|HARS1_MOUSE;sp|Q99KK9|SYHM_MOUSE",2,3,3,2,3,3,0.887740677417063,0.960177850747969,22.5422034901189,23.7736589549499,23.9015617223957,22.7912859849729,23.848741792053,23.7815299578567
"sp|Q61074|PPM1G_MOUSE",5,6,7,6,6,6,0.183038965070763,0.515987670765093,24.4647883286681,24.379549747565,24.4418892620123,24.6774516276505,24.7311089744365,24.5646008786082
"sp|Q61081|CDC37_MOUSE",4,4,4,4,3,4,0.849799816184783,0.94164993837088,24.9791740451829,25.1231487806395,25.3523716108661,25.2880718109692,24.7164939937545,25.3138063474638
"sp|Q61093|CY24B_MOUSE",2,3,3,3,3,3,0.309886314951669,0.635732866826367,23.3126166248241,24.2410132889391,24.0412283913022,24.2678038315296,24.246616636152,23.9974554426706
"sp|Q61096|PRTN3_MOUSE",5,5,4,4,3,4,0.131515456660749,0.46421603115947,24.5714708025556,25.2443707698265,23.7789772379238,24.4162979786608,23.2131190275296,23.5485573509869
"sp|Q61152|PTN18_MOUSE",2,1,2,2,2,2,0.895835500285986,0.965882920566552,22.4914607911222,21.8157747794602,22.5052314517703,22.7193834247991,22.2097580343335,22.001186979339
"sp|Q61166|MARE1_MOUSE",4,5,4,5,5,5,0.208446248953726,0.54099120958827,25.0050916977006,25.0652199248255,25.0459773191443,25.3478202234048,25.3597684915483,25.092910083418
"sp|Q61171|PRDX2_MOUSE",7,7,7,7,7,6,0.0340473519472507,0.275487935317213,27.0309890834613,27.4475565728143,27.5015246148935,27.8542686867082,27.7188341322091,28.0544033845045
"sp|Q61191|HCFC1_MOUSE",6,7,5,7,6,8,0.397218969391136,0.708658206395262,24.490224762593,24.9559662248635,24.3282654897583,24.2595525835508,25.1967725467854,25.2063866254374
"sp|Q61206|PA1B2_MOUSE",2,2,1,2,1,2,0.782126694957786,0.92172091682455,24.0965007271529,22.8763188711215,NA,22.9913722146529,23.1492368764364,23.9060395412801
"sp|Q61207|SAP_MOUSE",5,5,4,5,4,5,0.208053718631315,0.54099120958827,25.7478885733066,25.5398586649974,24.9783185220899,25.222275733237,24.8201507578809,25.1535607952643
"sp|Q61210|ARHG1_MOUSE",15,15,13,12,13,14,0.061609739044063,0.358718387144404,26.6403849971586,26.8295983055603,26.8306848891384,26.2241932073099,26.4623878551235,26.4713485043089
"sp|Q61233|PLSL_MOUSE;sp|Q99K51|PLST_MOUSE;sp|Q3V0K9|PLSI_MOUSE",31,32,33,34,33,33,0.637891761153411,0.841072099891164,30.8881253218329,30.8068361632613,30.9811517694848,30.9305231582886,30.9464613865056,31.0273214392265
"sp|Q61316|HSP74_MOUSE",15,13,11,16,16,16,0.448786650002084,0.739666886114546,27.4519674761325,26.9126556567839,27.1406894471986,27.184575938652,27.3341832721461,27.4805837907802
"sp|Q61425|HCDH_MOUSE",2,2,2,2,2,2,0.453801054326611,0.743913124725552,23.0479347515264,23.0572595798188,23.3684965385121,23.5074968476842,23.1514117493871,23.2659442785965
"sp|Q61545|EWS_MOUSE",4,4,4,3,4,4,0.0517809422923965,0.337796094745162,25.8735585179198,25.6178552464739,25.5029475415348,25.1287607490268,24.9928320978915,25.4368302408106
"sp|Q61550|RAD21_MOUSE",2,2,3,2,1,3,0.56513871649191,0.809382575573471,22.7248443584964,22.9128688418374,23.4805781412006,22.7125408830196,21.9882456166894,23.615005095756
"sp|Q61598|GDIB_MOUSE",19,19,19,18,15,19,0.551442555755676,0.798950493571596,27.5443485105516,27.5029383559709,27.5919304065558,27.4056057941906,27.2080639359996,27.6789922697664
"sp|Q61599|GDIR2_MOUSE",9,9,8,10,9,10,0.300365427871619,0.634331056149216,30.5859386379576,30.6285836299112,30.3300058901259,29.932817027268,30.4289897294707,30.4608156371691
"sp|Q61646|HPT_MOUSE",3,4,4,4,3,1,0.061596794441296,0.358718387144404,23.7068740010828,24.5032273284388,24.1440806494709,23.6778089220035,22.9110002587873,20.7385632142635
"sp|Q61655|DD19A_MOUSE",2,2,2,2,2,2,0.0641804503563716,0.363494732472905,22.9625185557551,22.7651247751683,22.7314902939631,23.3971573698689,23.0750948497753,23.1630813183192
"sp|Q61656|DDX5_MOUSE",18,19,19,18,19,19,0.445810448167404,0.735734858829914,27.3295034185547,27.5959664764259,27.651454331137,27.4815016391513,27.9852938894145,27.6111586117173
"sp|Q61686|CBX5_MOUSE",1,1,0,0,1,1,0.622201631010882,0.831203600271851,21.7092870395561,20.4312722330315,NA,NA,19.9073122505762,21.4696775657691
"sp|Q61699|HS105_MOUSE;sp|P48722|HS74L_MOUSE",5,5,6,7,6,6,0.10187550159806,0.426623181733441,24.7840540469031,24.5020132549191,24.1391215842938,25.2678433872233,25.062944407776,24.5966239115483
"sp|Q61735|CD47_MOUSE",2,2,2,2,2,2,0.0863371783254342,0.402818900879893,23.9328199398454,22.1074963367673,24.8396819677854,24.6300486340848,24.72955014658,26.2696059765329
"sp|Q61753|SERA_MOUSE",8,8,8,9,8,9,0.186798013179644,0.518374887353755,26.019139769555,26.1374981166177,26.4579088324234,26.545827726738,26.6208141788256,26.3121213137779
"sp|Q61792|LASP1_MOUSE",5,6,6,4,6,6,0.00959960036504916,0.181064408589858,25.5345909774033,25.6350194941951,25.2413651062138,24.6959145889318,24.8860692085444,24.8475618674754
"sp|Q61823|PDCD4_MOUSE",10,11,11,9,9,5,0.0986491522202289,0.42385118505657,26.4564632573988,26.3258482250467,26.6530115506532,26.4580141475998,25.8624889783981,25.3242554545252
"sp|Q61878|PRG2_MOUSE",4,4,4,5,5,5,0.00119227132359496,0.108628268045528,28.0034105255385,27.1825988938533,27.8859883210881,29.7932460627323,28.9851383679309,29.5858663571501
"sp|Q61881|MCM7_MOUSE",4,2,3,4,3,4,0.0287782634005043,0.256126544264488,23.9500748846992,22.4146790960497,23.7231251070995,24.2138002260817,24.7623000254032,24.7811978075063
"sp|Q61937|NPM_MOUSE",8,8,8,8,7,8,0.647152770357028,0.841684615112719,28.2656125765048,28.5758439291211,28.9891288214848,28.542937714938,29.0286838930405,28.6225077867826
"sp|Q61990|PCBP2_MOUSE;sp|P57722|PCBP3_MOUSE",3,2,3,4,2,4,0.789708783107752,0.92172091682455,25.6787338351789,24.8765062636658,25.7868003703625,25.9099501790786,24.9441230634571,25.7915323697402
"sp|Q62093|SRSF2_MOUSE",4,4,3,3,4,3,0.163098528671538,0.49279888918981,25.9708860481414,25.6625251094481,25.0168195901976,24.7069266873709,25.2665119278925,25.2370649041193
"sp|Q62167|DDX3X_MOUSE;sp|P16381|DDX3L_MOUSE;sp|Q62095|DDX3Y_MOUSE;sp|Q61496|DDX4_MOUSE",7,8,8,8,7,9,0.0657099739516384,0.368804628575412,24.9130355457629,25.5640221684907,25.6855322059768,25.8796757535661,25.7816992312917,26.4658477142655
"sp|Q62186|SSRD_MOUSE",3,3,3,2,3,2,0.253534006959782,0.589371963940091,23.0262035702606,23.8453435787749,25.1677266216851,24.8811245024288,25.2115245955668,24.1231028167438
"sp|Q62192|CD180_MOUSE",1,1,0,2,2,3,0.00740086069035986,0.176492038863581,21.6765196209873,20.6172199461057,NA,22.4823541446662,23.288820518616,22.8795297181079
"sp|Q62241|RU1C_MOUSE",2,0,0,1,1,1,0.356632634753736,0.676353520400541,23.460676555632,NA,NA,24.1583791895997,24.0694725838336,23.4125882542767
"sp|Q62261|SPTB2_MOUSE",22,21,21,24,20,22,0.236274384487313,0.577250751119985,27.1609028018291,26.5850873973248,26.7124681730017,26.6448511311629,26.3849078696261,26.5972320198732
"sp|Q62318|TIF1B_MOUSE",10,12,12,9,13,12,0.98384688270012,0.996533056246266,26.6624427355847,26.8878604396733,27.1873136459973,26.7743843234842,27.2726924716065,26.7055392160004
"sp|Q62348|TSN_MOUSE",2,1,1,2,1,2,0.419951859778867,0.721834401493059,23.8974138021002,23.2972875682038,23.433982782859,23.5801433459864,23.2338763735617,23.2309163571231
"sp|Q62351|TFR1_MOUSE",1,1,1,2,2,2,0.00777338052245883,0.176492038863581,21.38536093452,21.6570346124504,20.9149850923377,22.008612333612,22.4025628302334,22.453704059375
"sp|Q62376|RU17_MOUSE",9,8,7,8,7,8,0.87252087810022,0.953650012379714,25.2241088275641,25.133266160901,25.13872935219,25.1642136025402,24.971574815743,25.2777651922817
"sp|Q62418|DBNL_MOUSE",8,8,7,7,7,6,0.0129765131128522,0.192414684073843,26.106661604052,26.0737087439493,25.989781395018,25.6036516434041,25.2565470348578,25.5439964614253
"sp|Q62422|OSTF1_MOUSE",4,4,3,4,3,4,0.747596638276385,0.902621522570132,26.3336638651522,25.8822056311359,25.6855322059768,25.9766898966074,25.7421579332534,25.9605612923371
"sp|Q62425|NDUA4_MOUSE",3,3,3,3,3,3,0.234791518898883,0.575886284543322,25.8055691910632,24.9077960753674,26.043360358634,26.0849354980236,25.8555977316448,26.0658341804875
"sp|Q62426|CYTB_MOUSE",2,1,2,1,2,2,0.0686486239951636,0.368876016174299,24.5495866891708,24.2785697387898,24.5728941702118,24.0743900276621,24.2322208612007,23.900409438529
"sp|Q62446|FKBP3_MOUSE",3,3,3,3,3,3,0.203168810775716,0.535197332402837,23.2246887630887,23.0028578167858,24.2323862177715,23.8930214928082,24.2683535358822,23.8037933079072
"sp|Q62523|ZYX_MOUSE",3,3,3,3,3,3,0.403957143770531,0.715140092835006,23.9528777194645,23.8294830789287,23.6000830771837,23.5345780429553,23.6808018822826,23.7021122003092
"sp|Q63850|NUP62_MOUSE",0,1,1,1,1,2,0.671879382334243,0.852313769027206,NA,22.1484508443057,22.0848829471319,23.3702184343356,22.6587864492442,21.191021609448
"sp|Q64012|RALY_MOUSE",7,7,8,6,6,8,0.2916047282016,0.627529346008969,25.6023689377742,25.5828743601551,25.6418218452553,25.0460705302057,25.3591445611494,25.6971715593554
"sp|Q64105|SPRE_MOUSE",2,2,2,1,2,1,0.616872389203038,0.831142314766705,22.7553770095767,22.7281025265574,22.7633212889017,22.5229317352257,23.1393868086991,22.1561987275871
"sp|Q64152|BTF3_MOUSE",1,1,2,2,2,2,0.00769380544271056,0.176492038863581,23.34187604081,23.9398313779109,23.8341693392513,24.6037770024901,24.383940860481,24.9313727058504
"sp|Q64213|SF01_MOUSE",4,4,4,4,2,3,0.0404546994941019,0.301835662093718,24.4736867411433,24.1708595856916,24.1860645935263,23.8887066571688,23.0341649221308,23.804301925942
"sp|Q64324|STXB2_MOUSE",1,1,1,1,2,2,0.0524728156368409,0.340526709809916,21.3484509921152,21.2057095421379,21.3169844848597,21.3145684176084,22.8325960035067,23.30610554257
"sp|Q64378|FKBP5_MOUSE",2,1,1,1,1,1,0.34314493606514,0.665656882406367,23.3322213044671,20.8240523932589,20.8976570590972,21.254706827322,20.6431638188092,21.0447119615259
"sp|Q64433|CH10_MOUSE",5,5,5,4,5,4,0.883723052305318,0.959162825063089,27.5532956484117,27.4294244316547,27.3068370733119,27.4364624777965,27.3629559217748,27.4178682400425
"sp|Q64437|ADH7_MOUSE",1,1,1,1,1,1,0.641730185045206,0.841679800596133,23.3135090442049,23.1403435048241,23.5571887494955,23.815583064396,21.4106639132333,23.8155184813927
"sp|Q64511|TOP2B_MOUSE",13,16,13,15,16,14,0.685967438311548,0.861608294492126,25.7326977060734,26.2174304670982,25.8768059938049,25.7592982400671,25.9690920968174,25.8544193809772
"sp|Q64514|TPP2_MOUSE",5,3,1,3,3,2,0.55755057124679,0.803130649449134,22.868894910235,23.3655041908922,22.7634569825663,23.2812063271163,22.1479703896142,22.9398955535253
"sp|Q64518|AT2A3_MOUSE",8,9,8,7,8,8,0.688404708283606,0.862929845594943,25.0466531903552,25.4524433597288,25.741538961062,24.9616316585397,25.481720109238,25.4736800038685
"sp|Q64521|GPDM_MOUSE",5,4,4,4,3,4,0.193496856491402,0.52630221501821,23.9090065379556,24.1530695500594,24.0185260803415,23.6529456439028,24.057096953084,23.4412751365378
"sp|Q64523|H2A2C_MOUSE;sp|Q6GSS7|H2A2A_MOUSE",1,1,1,1,1,1,0.0686831747611857,0.368876016174299,28.2139087596141,28.4327657628566,28.7216090580565,27.5781350200608,27.9909589803647,28.2213176966382
"sp|Q9D2U9|H2B3A_MOUSE;sp|Q8CGP0|H2B3B_MOUSE;sp|Q64524|H2B2E_MOUSE",2,2,1,2,1,2,0.558589628875038,0.803698242007272,23.2968591187725,23.8126070913041,23.2550009803071,23.3839040772597,23.1871346357887,23.4012016450196
"sp|Q64674|SPEE_MOUSE",3,3,2,3,2,3,0.941394200847812,0.981570857118304,23.1580212849807,23.1486281921362,23.0001610344695,23.345423221747,22.9097946931765,23.0934452628388
"sp|Q64727|VINC_MOUSE",8,8,7,11,11,12,0.0977346417604151,0.422838068171796,25.1751974087368,25.5665685086004,25.6740290481876,26.0916104019827,25.7970542073351,25.7423295683557
"sp|Q64737|PUR2_MOUSE",5,4,6,4,5,6,0.0790742224843053,0.383371522239083,24.2698334169949,24.3882749296268,23.8989546412931,25.2309046586272,24.7520265040085,24.3291109746016
"sp|Q68FD5|CLH1_MOUSE",31,29,28,28,29,34,0.284691795844949,0.614776391027393,28.4750001638963,28.142441403617,28.3466233359677,28.3896083226962,28.6081151750762,28.5777877205821
"sp|Q68FL6|SYMC_MOUSE",1,0,1,1,1,3,0.443758201369205,0.735734858829914,21.4308486475056,NA,22.0500989895033,21.8265597580674,22.0069459732669,22.0240496526823
"sp|Q6A026|PDS5A_MOUSE",2,3,1,1,2,2,0.0192381273210406,0.215952312090239,23.1144205014925,23.2955534793693,22.5557400048455,NA,22.1024004422309,22.0076877245389
"sp|Q6A028|SWP70_MOUSE",5,5,5,6,5,7,0.0199706674970291,0.216956306631472,24.6143883517135,24.5683096090957,24.5561512829519,25.0771013515966,24.9348122141406,25.2636476865822
"sp|Q6A4J8|UBP7_MOUSE",2,2,2,2,2,2,0.754901572807436,0.90502467159188,24.5323142748523,23.1119446746717,24.0124017918853,23.9941292136989,23.9664790599465,24.049929670797
"sp|Q6DFW4|NOP58_MOUSE",7,8,8,6,5,8,0.0944289980257029,0.422176599483101,25.8447308209655,26.1000072448773,26.3228086708431,25.7264297164041,25.4165993022628,25.8726868829511
"sp|Q6IRU2|TPM4_MOUSE",10,11,10,9,11,8,0.256855950958377,0.59378870950682,26.4352101957519,26.2871033830627,26.0434651282477,25.8526344721049,26.228967173432,25.957918694228
"sp|Q6NSR8|PEPL1_MOUSE",2,2,2,1,2,2,0.522755311999638,0.779445642063338,22.101526963131,21.2100779962178,22.00358284503,20.004660562827,21.3451651945523,22.6272453782038
"sp|Q6NVF9|CPSF6_MOUSE",2,4,4,1,4,3,0.497822842548662,0.764294926735076,22.5856344351725,23.7430569462038,24.2642602342738,22.2015934950126,23.7941098945219,23.3749304432898
"sp|Q6NZB0|DNJC8_MOUSE",6,4,4,4,4,3,0.0416206001192176,0.305054516167912,26.3764019179118,26.3145641709754,26.980946648587,25.9686573094173,25.7243045857845,24.1976740730071
"sp|Q6NZJ6|IF4G1_MOUSE",1,1,1,1,2,2,0.796535989484322,0.923403542978557,22.2005787944465,22.5160340832215,22.6897955794574,22.3420607146149,23.5295463337263,21.8834961197107
"sp|Q6P069|SORCN_MOUSE",4,6,6,4,5,6,0.580571013895644,0.818340998955169,25.0019273188468,25.7070329120652,25.7853811343419,25.4706823171882,25.7650925381376,25.7070942633522
"sp|Q6P1F6|2ABA_MOUSE;sp|Q6ZWR4|2ABB_MOUSE;sp|Q8BG02|2ABG_MOUSE;sp|Q925E7|2ABD_MOUSE",3,3,3,3,3,3,0.781988771860297,0.92172091682455,23.7937151862374,23.2397652227904,23.8157874971877,23.6666914423864,22.9332266010743,24.6345040509959
"sp|Q6P4T2|U520_MOUSE",17,16,13,16,15,18,0.984430210158479,0.996533056246266,26.381020819907,26.0864744114437,26.2632410219101,26.3622118264331,26.1080903349413,26.2709208645577
