"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q9EPB4",3,3,1,2,1,2,21.2782222036752,20.9323874108377,20.6868530109914,19.8815356196306,20.0861240196317,20.9669743952916,-0.293170114099528,0.208839101102638,0.56764456623517
"P09103",15,14,15,13,16,17,20.5240329171182,20.0665076901064,19.2800269796127,20.1568369950469,19.6598257438386,20.6773490942572,0.243969227776923,0.00279032555104424,0.0310363009784512
"P62702",11,9,9,12,12,12,20.5351615958004,20.0584100655464,19.1930876380447,19.9156921336119,19.3509819933848,20.446642608684,8.72300262502718e-12,0.99999371790311,1
"P70372",5,4,6,4,5,6,21.006089560034,20.6075667214671,19.677675058414,20.2709043028277,20.0596826396594,20.7399904823175,1.29174991158721e-20,0.999999999887657,1
"Q62261",25,24,14,18,12,22,19.7770488522246,19.3377765876571,18.592232914671,18.8295727332397,18.4775173882386,19.6035002298809,-0.202198080262321,0.000812360921755105,0.0123323301632397
"O35892",6,4,5,4,5,6,20.3442383780746,19.9449975306303,19.2057637167069,19.1208529423635,19.1810419992291,19.8336478503729,-0.298091922577421,0.0253548609209894,0.138699082039645
"Q9JKR6",4,3,5,3,4,8,20.0442039414012,19.0996461337424,19.5346260279877,20.1744324805049,19.8459455490366,21.3855346616593,0.721342411870999,0.00680626538766843,0.0598053919858524
"O35643",NA,3,2,3,4,5,19.925359114204,19.3245771691281,18.6970982011789,19.2616026647501,18.6800324357994,19.7547970765438,1.77497821902489e-12,0.999998923417934,1
"P61255",7,7,4,4,4,6,20.9999275865032,20.7380331775811,19.3853889393854,20.5115639577995,20.0374298969708,20.9509748529075,3.51908805078894e-20,0.999999999759309,1
"Q9WVA4",14,9,8,9,9,11,21.6473252079948,21.0633974006347,20.4817641562993,20.3413665680256,20.0169865227966,21.2994884941856,-0.362997432426015,8.8964588626351e-05,0.00230822669036005
"Q9CQI6",9,9,10,10,10,9,22.5268650384634,22.0432726723976,21.40800343615,21.8682883311357,21.3457717794721,22.228844086908,-1.21909681475501e-19,0.99999999946871,1
"P05202",14,11,8,10,9,12,21.2761724787413,20.6354715471631,19.7325426998327,20.4381853801396,20.0623504933749,20.893734309742,2.8153546560839e-12,0.999998416229736,1
"P11031",6,4,3,4,3,4,19.7592164461481,19.1692745295671,18.2912725287245,18.4971793107152,18.2671933121727,19.2590693700339,-0.432831759589835,0.00272255202069825,0.0310363009784512
"Q8BHN3",12,13,6,11,9,12,20.4262043398483,19.9803429628151,19.0813350966519,19.5228237468923,19.0860846299713,19.9500506464751,-0.0837493019293165,0.161278131896939,0.474523493230787
"P60766",7,5,5,6,4,8,20.4256937528699,19.7030650596538,19.5317160127896,19.97159204676,19.2761799247284,20.4593513161393,0.0497236968162677,0.507497533921455,1
"Q9D1Q6",4,4,NA,4,4,4,20.0617241557159,19.326056137152,18.5102746373587,19.439660463871,19.0093456662703,20.0655873700697,0.243266824200722,0.0365001710680188,0.17656184445445
"Q9D855",2,2,2,2,1,1,20.2662891913393,19.5032046095404,18.4342837387302,18.8541030072962,18.864276464458,19.8664557694869,-9.24715368347068e-20,0.999999999623098,1
"P63280",4,4,6,3,3,4,20.0907517406402,19.652805878324,18.9216209773668,19.471097693898,18.8920934173187,19.781766741887,-4.54413635543322e-18,0.999999996529016,1
"Q61937",11,10,9,9,11,13,21.143053197518,20.7362230448989,20.1869729237064,20.6471974501448,20.2656879807187,21.3122214234961,0.0443031939001077,0.352338408940402,0.821547237839793
"P51410",6,5,4,2,5,5,21.5633523474392,20.2959106710354,20.8318810777715,21.4759379984297,20.227641795265,21.3839123042899,0.0909273217149766,0.561936533228544,1
"P10518",3,4,3,5,4,5,20.2616926075923,19.8536569503242,18.8739146099905,19.5026836690377,19.3459044237165,20.0281728746506,6.52680427510849e-20,0.999999999538365,1
"O55142",5,4,3,3,3,4,21.383833381392,20.8630673170723,19.9553894343519,20.8265419932906,20.2290782122248,21.2889937475131,4.59790742103875e-09,0.999848837503688,1
"P97855",3,3,3,4,5,4,19.5054829394863,19.0054275566464,18.3214733396155,19.4062768220207,18.6490149317081,20.0190756802666,0.541437662102319,0.000160929661244581,0.00368956214645391
"P97470",1,NA,NA,NA,NA,NA,19.2203512460304,18.4702937233397,17.6783305827923,17.7007408548354,17.939511915411,19.2939313358317,-6.62618844403983e-21,0.999999999975235,1
"Q9D051",6,4,3,4,3,4,20.4209647490087,19.8518646760642,18.9486013716305,19.3401906666132,18.9112246075912,19.5287975893316,-0.354247207794116,0.0115079396251153,0.0846486074486577
"Q9CPU0",5,4,4,3,3,3,21.4036867340608,20.9294506215034,20.0855206454989,19.8357403667455,19.4293822235128,20.3703895318187,-0.801460555877919,3.66344498293418e-09,7.46819427235296e-07
"Q9DCT2",3,3,2,3,2,4,19.8365109331097,19.3314489288757,18.4082848033746,19.4829609620469,18.7004689358064,19.3207500832602,7.40002542326796e-20,0.999999999543795,1
"Q8BWT1",12,10,11,9,9,10,20.7127695100989,20.1530701831236,19.4609477966068,19.5303138607898,19.1661653868734,20.2986436302236,-0.349635908388702,4.62930701122945e-05,0.00134816757245396
