"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"P47963",7,4,5,6,8,6,21.5804470536961,21.1944646375561,20.1285793422505,21.0226775390546,20.6691166550065,21.6400691740258,0.206180720590644,0.0633007512019053,0.250510757700475
"Q9JJI8",3,2,NA,NA,1,5,20.0008661758189,19.3029911142107,18.4395620400545,19.1768743224905,18.3209259311798,19.6525260638123,-5.72617819255886e-20,0.999999999647104,1
"P83917",4,3,4,2,NA,NA,20.6251139195792,20.0245180447064,18.9179990652975,19.4244826876934,18.6948044943643,19.9309361016747,-0.449444453227827,0.00381276985378882,0.0391426084989687
"Q9CXW3",NA,NA,NA,2,NA,3,19.561139654988,19.191631087861,18.3931399723246,19.3815973795298,18.7798210807624,19.7484990310993,0.286365243424328,0.0767235358869452,0.277175913191572
"P84099",5,4,NA,4,4,4,21.779034927284,21.0380463347101,19.8904829268628,21.0061810712489,20.5152413588245,21.4955009974006,1.17487340539678e-19,0.999999999371174,1
"P62849",3,2,3,2,2,3,21.5659776849293,20.8133615964912,20.3675895885524,20.1063104737192,19.7360342698442,21.0698401746179,-0.322268510405122,0.0388457048109473,0.184875976810128
"Q6ZWN5",9,11,8,12,8,11,20.8031371398086,20.6484742439559,19.8948720658492,20.1683965596059,19.8646120531326,20.3317535768015,-0.165782343741701,0.15584133156296,0.462970706924532
"P02301,P84244",2,5,NA,NA,1,NA,19.7308901259056,19.9231955780833,18.4539354712226,17.3129965620021,19.0529490648109,18.5495854246922,-0.52621671446272,0.200762503500514,0.55093863941391
"P62889",5,4,5,4,4,5,22.5246351103276,21.9545799337373,21.050576459915,21.9525252167157,21.7540027750847,22.4118943384435,0.0655913543771322,0.38406823110588,0.86751131719386
"P27661",3,2,3,1,2,NA,20.8549208361498,21.3745481052706,16.1139014775552,18.5094861415487,21.2617238571618,19.2878743585154,-3.44725201423959e-20,0.99999999993152,1
"P20065",6,4,4,5,4,5,23.3847851892534,22.9373632150626,21.8976640489626,21.9204787962436,21.9275108840185,22.6885348690308,-0.341286144516761,0.0158807762489354,0.104916054200143
"P43274",6,5,4,4,4,5,23.5466870624281,23.4858392544158,22.6087807026499,22.790295180178,22.4835063808906,23.5900969744467,-7.28392557358664e-20,0.999999999433235,1
"P23198",5,5,5,4,3,4,21.698935971722,21.2373204357862,20.2250378220068,19.9723198579023,20.2620353544116,21.2824490786064,-0.311452106298779,0.105354857945256,0.352087546341641
"P02089",5,6,6,5,5,6,24.2370913406462,23.5045345817363,23.1194197332862,22.901050269489,22.5577447656098,23.6092648641088,-0.591564817411402,5.54936661739495e-06,0.000282819505822235
"Q64523,Q6GSS7",4,4,2,3,1,4,23.0652422957097,22.1872520119179,23.2587451708478,22.3534030211542,20.1391949817346,22.6601857664609,-7.85250307402151e-08,0.999677379532708,1
"Q8VDL4",2,4,2,2,NA,NA,19.7685386552278,19.2688591282037,18.2468617707112,18.8508527695978,18.4520039851318,19.0906243995801,-0.171828004462655,0.0697777353641507,0.261346006206412
"Q9EST5",4,5,3,5,5,6,23.128173764414,22.6838914307473,21.7433813096671,22.7728889349956,21.9247751344716,22.9453431532629,9.68930205914795e-20,0.999999999442428,1
"Q80X41",4,3,NA,1,2,4,19.7036942997284,19.3367648697061,18.8459001507778,18.8115321583052,18.5320778761001,18.7218366679874,-0.223337137780117,0.106942703355529,0.355727826779348
"Q64521",5,4,2,5,3,6,19.8671084234667,18.9018494909951,18.1711732865002,18.3800995569191,18.398333065449,19.1566680013631,-0.064620043773413,0.564766916716667,1
"P03995,Q6NXH9,Q9DCV7,Q9Z2T6",1,NA,NA,NA,NA,NA,20.2129588326894,20.0943005856607,20.5085622874411,20.0958192573237,19.1350120929293,17.948552707267,-5.72829313507616e-19,0.999999999224684,1
"Q8BIQ5",NA,NA,NA,1,NA,NA,17.8799882985634,17.4859510857378,17.1607004159049,18.2219596730734,17.6255122262647,18.6374359963493,0.800958111024814,0.00157036494074566,0.0203447609186081
"Q9QUR6",8,4,NA,2,4,8,20.0092321382727,19.3592555228451,18.7298251958248,18.9448094362703,18.7780144429282,19.553812972502,-0.152731555465096,0.136508279114727,0.421639208434449
"Q91V04",1,NA,NA,1,NA,NA,19.6792260143621,18.8472070841856,18.6358519658128,18.7467274405524,18.531553003009,20.069740445003,1.1056714845034e-19,0.99999999960732,1
"P28656",3,NA,4,4,4,3,20.6710361226089,19.902855427237,19.8796580434538,20.3616724374884,19.9667528903813,20.8722206109169,0.298230147542222,0.0496912266862097,0.215611806617499
"Q78ZA7",4,7,NA,5,NA,4,20.3869517755226,19.498606704956,19.2310359258559,19.4926229553066,19.1632214281406,20.0463277285743,-7.60390154060691e-20,0.999999999629228,1
"P62075",2,NA,1,1,1,2,19.9812586087585,19.5531273280882,18.7442087016558,18.8786005485701,18.7885190239037,19.7727254177262,-1.08356609306496e-19,0.999999999391875,1
"P58389",3,NA,NA,4,NA,3,22.9002842947028,22.0753922444675,21.6039863068851,22.9399003660334,20.7534720300042,22.1697840177238,-2.18643993567034e-19,0.999999999510557,1
"Q9DBS1",2,2,3,3,2,5,19.7629948991199,19.561716625793,18.9152041024708,19.2793573376677,18.8282295466128,19.6865686514629,-8.06355419856174e-19,0.99999999857254,1
"P46061",2,4,NA,NA,2,3,18.7351998144548,18.8166536509143,17.7318681297543,18.6424227312091,18.2993033177683,18.9866917492904,0.275587321912787,0.0760965068830536,0.277014579903361
"Q91WV0",NA,NA,NA,NA,NA,1,20.4196072815669,20.0905064377486,19.2313216434306,19.6143450345441,19.1976496376804,20.3775428505236,-0.0562763940379118,0.598179263670777,1
"Q3UZZ4",1,2,NA,2,NA,NA,19.0105035339447,18.7181679057374,17.0428711607856,18.7903640799046,16.3405301941639,17.0329277502906,-2.55716743264474e-05,0.994879494920257,1
"P23116",5,4,2,6,NA,9,19.9142478325953,19.3155246819502,18.9235054378452,19.573557446983,19.4701664844574,20.2133701501069,0.376272941850609,0.0176832839667685,0.11366057385268
"O35691",3,4,NA,2,NA,2,19.1064040331397,18.6435657627811,17.8248119531559,19.003315565231,18.1305026346562,19.4638173980506,0.46381733038992,0.0237619303031428,0.132973625657195
"P48453,P63328",NA,1,NA,NA,1,NA,19.9962871946613,19.5785585273167,18.8209904922378,19.4045353399918,19.1806715670734,19.5160450949451,4.348957390779e-20,0.999999999770211,1
"P97370",3,3,NA,NA,2,NA,20.2658466822318,19.786747400863,19.187644939072,19.5036088814238,19.0361367966585,20.114808526222,-0.0636747524654033,0.600631619233273,1
"Q9CX34",3,1,NA,2,2,5,18.585071264399,17.9943688682086,17.4907690213624,17.9781976443845,17.5166415872816,18.6462932272474,7.59130885795614e-20,0.999999999414493,1
"Q5XJY5",2,3,4,7,4,5,19.3465720396356,19.2891970738882,18.435554994925,19.4470153698199,19.2534364924963,20.1111751869953,0.498051447690389,0.00133817282313956,0.0182376333236895
"Q8R326",3,2,3,3,2,4,19.0936900688195,19.4741223819672,18.485595254352,18.5965667429362,18.6207519911117,19.6343151026843,1.13137469887925e-20,0.999999999951559,1
"O35405",3,3,NA,NA,NA,NA,19.8841974245878,18.760263468853,18.0188547120438,18.1933837218492,17.8095493969543,18.6328715376171,-0.338713508131519,0.0667696492097743,0.25724703692075
NA,NA,NA,NA,NA,NA,NA,20.5687194673143,19.9203662817134,19.228904119775,19.2150288164764,19.3795294081291,19.7220919971108,-0.275239437789079,0.236943973168425,0.623835885076278
"O08997",3,3,3,3,3,3,22.7821898417117,21.9720339859827,20.6299310262864,21.1832003921206,20.5350181875943,21.8907347295128,-0.333551806690839,0.13184906932628,0.411324272986123
"Q9WUA3",NA,NA,NA,NA,NA,7,19.0151754420973,18.2602405092688,18.0027995564233,18.6811895447869,18.0530094344805,20.3509967968824,0.27918476112768,0.240677147981053,0.630176679209106
NA,NA,NA,NA,NA,NA,NA,20.5122002079045,19.2330528385881,18.868253231261,18.7934938439344,18.0419689535657,19.0486916977723,-0.712696629661591,0.0111295469193837,0.0827180388227114
"Q8VE37",4,5,5,3,4,6,19.7652696398824,19.7256333325901,18.9036114264178,19.1388561245504,18.9126698991945,19.7439684381805,-0.0180424025702586,0.727882552616873,1
"Q8BTI8",7,4,1,3,1,5,20.473775674958,19.5641304472702,18.6555938288527,19.2204373605054,19.1093320527517,19.7801314590947,-4.0277350943188e-20,0.999999999814337,1
"Q11011",6,5,NA,NA,2,3,19.9399923451172,19.3637582425045,18.4175908096021,19.0850993157676,18.0606127819134,19.5161251733437,-0.10370206318496,0.425489448335239,0.926718938472544
"Q9CYZ2",2,2,NA,2,1,3,19.2839775426789,18.7514551161327,17.9654180376095,18.5336092765188,17.9512054763109,18.909328487939,-8.35935092140686e-11,0.999980411385906,1
"Q60854",2,NA,NA,NA,NA,NA,18.4333977343908,17.8437141199251,16.2156085555749,15.3566877380105,15.0328523246827,16.6802764822992,-1.64288083748983,0.000764059448340058,0.0118512264432746
"Q61207",5,5,2,4,NA,2,21.2344432396898,20.6835824112744,19.4816214631446,20.1218023904004,19.4531195186433,20.7055914174227,-0.0692093417292772,0.557211345083408,1
"Q80UM7",5,5,NA,3,3,4,18.5227072632155,18.8262687521552,15.9961645441994,18.6098761752086,17.6309044396126,18.7993489769258,8.90968318030977e-20,0.999999999775279,1
"Q9DBC7",3,3,3,2,2,5,19.5274310379548,19.2766082314609,18.6321711182711,18.9680505823115,18.7223079533324,19.7026234617261,1.14502881010818e-19,0.999999999326413,1
"Q8VBV3",3,NA,NA,NA,NA,NA,19.6062150880037,18.9831175211749,15.7654873243718,16.8754558348979,18.4869867481829,19.082599559484,-6.56664789684994e-20,0.999999999895955,1
"P50431",NA,NA,NA,1,NA,NA,18.1380783511282,17.8342213299081,16.7984678300365,17.6836539306242,16.9256648158942,17.8668027132116,-4.96141274080176e-20,0.999999999749859,1
"B2RQC6",NA,NA,NA,2,NA,NA,17.3115977294905,16.9237151561774,16.3235366510972,17.4498228264018,16.9502123147118,17.9790562129097,0.690636814208101,0.00141690762461683,0.0187708567044388
"Q9EPV8",1,1,NA,1,NA,NA,18.1589260221628,17.6187292883962,16.9411549170289,18.0719322724373,17.8039607559801,18.3786995566301,0.626727112281849,0.00476420601630291,0.0472119582310018
"P39749",4,2,NA,3,3,4,19.0661525624555,18.9000576041326,18.3287411921001,18.964796899666,18.7583658813407,19.4046306403249,0.344060666140652,0.0708011620974598,0.264484969405956
"P60867",2,2,2,2,1,2,21.6617037242661,21.3953322712191,20.2271432502719,20.9263124002468,20.675572431003,21.256079934558,-2.49258653175237e-20,0.999999999823052,1
"Q3UL36",2,2,NA,2,2,NA,18.3165714075781,18.2800883408584,17.2831165501736,18.3935517627821,17.7720616890799,18.7232629295912,0.359125293371648,0.0829046108938585,0.293560495646491
"P60229",2,4,1,2,NA,4,19.5971620544649,19.0877513200413,18.5958130077715,19.2917306112148,19.0434905115043,19.8551792493974,0.39050557201344,0.0334702853518207,0.167000339849819
"P61089",4,4,4,5,3,5,21.6269781742474,21.4551809570428,20.7248172933041,21.0717639726992,21.055880100138,21.733091234947,1.79354070148631e-18,0.999999997937854,1
"Q6A028",3,5,4,7,6,6,19.6641135291724,19.4364026696169,18.5686101850414,19.5292216153904,19.1835419995036,20.1562106563933,0.471097387846996,9.11350662463152e-08,7.64998467844069e-06
"Q8K019",4,NA,NA,NA,NA,2,19.6513682688018,19.0903961374794,17.938478553944,18.0939988326973,18.094822763168,19.4940350875047,-2.23508379865481e-19,0.999999999251141,1
"P34884",4,2,2,2,2,2,23.6412791981455,22.9968108176433,21.766047532404,22.4013786240763,22.0565124014492,23.5417404473333,-1.27344737065658e-11,0.999997058333491,1
"Q9CZY3,Q9D2M8",NA,NA,NA,1,NA,NA,21.3356935575289,21.2355605290295,20.3356498962956,21.0122380205993,20.7522235170394,21.4117747575045,0.0125651700116185,0.794997426679156,1
"Q99KJ8",2,3,2,NA,2,3,19.6318069139665,19.3961792302855,18.4883222085924,19.1221833875325,18.6265079141313,19.40192713635,-4.28544232968528e-12,0.999998506496137,1
"Q61093",NA,NA,NA,3,4,4,18.9782846033133,18.3523878019907,17.5607188406958,18.8456905849868,18.1016660873852,18.8563171230334,0.306128942868596,0.00884568594239609,0.0709145721337035
NA,NA,NA,NA,NA,NA,NA,19.7918609986899,19.9759883837268,19.0590555310853,19.3056334613503,18.9843885152708,20.172516228697,-6.83201447116986e-20,0.999999999707519,1
"O88890",2,NA,NA,NA,NA,2,19.557146880254,17.5509938950992,17.7944515830259,17.490905916483,15.4591080849539,18.6374011511053,-0.224078232768639,0.470643520473155,1
"Q3UGR5",3,2,NA,NA,NA,NA,17.8599886514347,17.6202425694164,16.5938692690369,14.9266779907437,15.7650297691752,17.5307597807959,-0.863300592557808,0.0215941014966474,0.126087168588005
"Q64105",3,2,NA,1,NA,NA,19.3712893502882,19.1128795554325,18.3292434687659,17.6735758611423,17.8475702025197,18.5665699137015,-0.525910705631999,0.0150544778847533,0.10086206761132
"Q8CH18",NA,NA,NA,1,NA,NA,19.0160389736137,18.3023907014598,17.8242365588121,18.4006991139246,16.2374149359908,18.7327678717949,-8.61255376610215e-20,0.999999999719439,1
"Q9D7N9",2,2,NA,NA,2,NA,19.5824509799321,19.3641834686279,18.4184898686706,18.4524645291341,18.2112392577753,19.5345652278176,-0.22706677274483,0.352248235858548,0.821547237839793
NA,NA,NA,NA,NA,NA,NA,18.1163085602661,18.4608973512181,15.6130264649208,17.5085976474759,16.5219041918865,18.2881736271167,2.24778272156481e-20,0.999999999957309,1
"P56400",1,1,1,NA,1,NA,19.4230856869798,19.2164199434552,18.5338225072464,18.8829621905407,19.0470505448555,19.3950600831046,5.02177302354406e-20,0.9999999997836,1
"Q5SWD9",1,NA,NA,NA,NA,3,18.8813772487854,17.8773232499416,17.6812282652777,17.668123513339,16.8753246688066,18.5096719911338,-0.184478112572711,0.292406038724333,0.726939751323385
"Q8VBW6",1,NA,NA,NA,NA,NA,19.3219842234573,18.686056550851,17.7627217045135,18.5501029580331,17.8856322950052,18.2314160813832,-1.34361343079867e-19,0.999999999479096,1
"Q99LC3",4,3,NA,2,NA,NA,20.4912224484569,18.9788954120856,18.9706756644064,19.508200481949,19.2287136875041,20.1030562352562,2.60947750226706e-19,0.99999999967864,1
"B2RXR6",2,3,NA,NA,NA,NA,19.7691690375157,19.0825619030985,19.5881207940366,19.2483861183362,18.6416684276619,20.1891816434485,7.67171661145034e-20,0.999999999779358,1
"Q9CR21",NA,1,NA,NA,NA,NA,19.429296576962,18.966727956174,18.061259725066,18.3326706139735,17.9505918392683,19.0121583311808,-0.307057858786733,0.0527582529045164,0.222739724540665
"Q9D0I9",5,5,NA,4,NA,8,19.2490522633461,19.1221703519977,18.2301528422371,18.9244960547968,18.532939506836,19.1705236061735,8.51057983917632e-20,0.999999999596136,1
"Q9ESY9",2,2,2,1,2,3,21.2359086896909,20.3773521720879,19.4633104780528,20.3994350968665,20.2325293639532,21.2363248360018,0.250048637111557,0.107881748951768,0.356433986975603
"Q60865",1,1,NA,NA,NA,2,20.004263657264,19.3662228152727,18.3018807252532,19.357396750462,18.9413673658651,19.6881370204428,1.35450315083683e-19,0.999999999359453,1
"Q9WVA3",4,2,NA,4,4,4,20.145209202014,20.1239009511409,18.8801218323249,19.4354776483521,19.3513668361115,20.2202017293731,1.26730909875055e-17,0.999999997679178,1
"Q922Y1",NA,1,NA,1,NA,2,19.0876720379189,18.7540463510116,17.7793458138553,18.6224540177135,18.5066812748474,18.9071406825677,0.0219046142687188,0.734609885768072,1
"P04228",1,1,1,1,1,1,22.0010700374329,22.4478818009951,20.8307111940714,23.0278051668446,22.7404167964403,23.6210469884933,1.69567558855425,1.29277721817845e-05,0.000512442525094623
"Q9CX60",NA,1,NA,NA,NA,NA,20.2052101485429,19.434777385549,18.2057983218212,18.6041254908464,18.4437411564145,20.0436324208319,-1.9892736600279e-20,0.999999999915983,1
"P10630",1,NA,NA,NA,NA,NA,19.6598099288631,19.2815046651115,18.4870967189071,19.0545387512183,18.3059901312787,19.0393219609451,-0.120757277786647,0.376252788209646,0.856990683039307
"Q9CQA3",2,NA,3,NA,NA,3,20.5176036036753,20.134333858263,19.6270663928902,20.3445597612656,20.0095162759021,20.1038899647853,5.64453213825803e-20,0.999999999767033,1
"Q3TGF2",4,1,NA,NA,NA,NA,19.6740233243883,19.2262470314306,18.0986867178117,18.4157579105406,17.9856837794103,19.2427831164202,-0.332509851958834,0.0150123535237248,0.10086206761132
"Q9WV80",NA,NA,NA,2,NA,NA,18.5033974424674,18.0250270886882,17.0444059066834,18.0679144299532,17.6210834565642,18.4979094186057,0.22160996383462,0.163144163083384,0.479026174320966
"Q8BVG4",NA,NA,NA,NA,NA,1,16.9491025570958,16.2574028434852,16.9356125896102,15.9209905902722,16.9045891883449,20.1664304351893,6.5168582412659e-19,0.999999999315776,1
"Q9CR16",5,5,2,7,4,6,20.3765635758179,19.7702931612392,18.5183222962229,19.742312717945,20.1952941466463,20.3049902335043,0.49392769162476,0.0739307680820478,0.274211928487039
NA,NA,NA,NA,NA,NA,NA,18.8591438356687,18.2976922906418,17.7461031839226,18.0856489621541,17.4578371380492,18.8273960028462,-7.0120898117257e-20,0.999999999626682,1
"Q922U2",NA,NA,2,NA,NA,NA,16.8626592892362,17.8716210470985,18.4097603750098,13.8813181380529,14.9204261423261,16.2694633835557,-2.25126317371002,0.0105560192747058,0.0796740883161063
"P18608",NA,1,1,NA,NA,1,19.8646468133579,19.6994964752876,18.7145387166525,19.2869705358211,19.5431812391594,20.303818975713,0.226494538642528,0.197809543145722,0.545889177882056
"P12815",NA,NA,NA,NA,1,NA,18.6614747649263,18.588986246708,18.3688181287458,18.6019281344348,18.1647445446798,18.6416773825744,6.31243302137371e-21,0.999999999978553,1
"Q9CRB9",4,NA,2,2,1,NA,19.1400004450219,18.7703131779922,18.3065065775354,18.7174331168814,18.2019097035138,19.2359433958754,2.76909630737528e-20,0.999999999763393,1
"P62315",4,3,3,3,4,3,22.4038355408622,22.2499761638085,21.040160142649,21.4654992215187,21.2931927934358,21.8718929872896,-0.239229814615954,0.107904332427092,0.356433986975603
"Q9ES52",4,4,NA,2,NA,4,19.5673925676553,19.1414479292122,18.6780502089533,19.2894588203508,18.7362439236458,19.8698509352148,0.207415360507119,0.0595509764443049,0.24279783824578
"Q60931",7,5,6,7,6,5,20.6992320953493,20.0152696008906,19.5595205851759,20.1348983959976,19.7484579555408,20.5871975232012,0.0746647091006591,0.225656145701515,0.597423599102155
"P61971",2,2,NA,NA,NA,NA,20.729332359009,19.9066229149866,18.8900246169898,18.674814436185,18.3246757956951,19.9338632915065,-0.377556368652926,0.0539527094893823,0.224983639310232
"Q9WUK4",NA,NA,NA,1,NA,2,16.1686945237135,16.6944485449047,16.2812426439427,17.5919897839294,17.5519995852581,17.7950457995219,1.1390851086925,0.00924484344449236,0.0724856681059923
"Q9CZU3",3,NA,1,NA,2,3,19.0129504109708,18.96143145944,18.7144775785549,18.0279816798066,18.6631058470376,19.2810048640236,-4.23396035667205e-20,0.999999999829094,1
"Q60930",8,7,7,8,8,10,21.169148590759,20.7190443331306,20.0681303991571,20.4195098999769,20.3475605334192,21.040223899703,0.0248861949361615,0.612336273351602,1
"Q9D8I1",NA,1,1,2,3,NA,18.7440244765393,18.5365792604485,17.4748061257657,18.9791313395509,18.5126875345065,19.5295209798924,0.895810601751953,0.000345039393986828,0.0065363319883454
"Q9Z0N1",3,2,NA,2,NA,2,19.3506993487318,19.0771825237778,18.3755506144338,18.8340571769355,17.3726940566234,19.5099582397796,1.99834853965125e-20,0.999999999880209,1
NA,NA,NA,NA,NA,NA,NA,18.7505822183412,18.5606902841704,17.3576759834015,17.4166489050791,17.8287202680394,18.4358947893109,-1.99833844697986e-19,0.999999999299392,1
"Q91V41",6,4,5,5,6,7,19.1460043949899,18.6428097024319,17.771894653677,18.3776951353527,18.272509419138,19.349943267286,6.5672395849915e-20,0.999999999646572,1
NA,NA,NA,NA,NA,NA,NA,18.4525269169312,18.439576697699,16.7566832114046,17.690566473461,17.2442691066966,17.510442226876,-2.00381933919535e-19,0.999999999419355,1
"P36536,Q9CQC9",NA,NA,NA,1,NA,NA,20.1930092039067,19.9809404824892,19.0167189708119,19.8823141344028,19.5956068989844,20.7720095234971,0.39824171047871,0.0284705680946829,0.149365811290855
"Q8CFE2",NA,NA,NA,1,NA,NA,18.2190845102728,17.608382047833,15.7755370670745,18.0313453947431,17.5280516510948,18.3602567597684,0.476665868563964,0.0477015946816259,0.211398060902734
"P61082",2,4,NA,NA,NA,NA,19.0300494912883,19.432402707468,18.3763703136404,18.8103565713173,18.5693980894186,19.1934642303548,7.10874692850052e-20,0.99999999968765,1
"Q8BKC5",3,NA,NA,2,NA,2,18.3782726554176,17.6965073427588,16.4720379517356,19.4789342017831,19.1351135452617,21.5611071129501,2.29339850780951,0.000148411674630265,0.00352972432828981
"P62827",5,5,3,4,5,5,22.958264530618,22.4537043533404,21.7553264973183,22.3699339065912,21.8041417049298,22.8862534629499,-2.09565239189018e-12,0.999999067853181,1
"Q8BJ71",3,3,1,2,3,8,19.6420533735785,19.2265410907548,18.5676450661601,19.197171155735,19.0243691146966,19.4117577410518,1.17422621621862e-19,0.999999999479495,1
"Q4VA53",2,2,NA,NA,NA,2,18.6766622503719,19.1240704583137,18.040702944095,18.1898061440352,18.2380317142656,18.7489888760168,-1.41973810390089e-19,0.999999999559365,1
"Q8BLF1",NA,1,1,NA,NA,2,19.3105451988809,18.7047067834488,18.949074512361,18.4766051337747,18.0444024995796,19.5779088457899,-4.67952303508496e-20,0.999999999805937,1
"O70251",2,3,3,2,3,4,21.2509926248381,21.1069028111313,20.1641903556659,20.9120062206938,20.7094663334849,21.5973547858208,0.241860130937048,0.0801197375064087,0.285827163554113
"P12265",3,NA,NA,NA,NA,NA,18.6265727505853,17.6782696124945,16.7704764264898,17.541846194757,17.3173780744908,17.8731112886186,-3.26180044635534e-21,0.999999999986205,1
"Q9DB20",6,7,4,5,3,5,20.9086920807222,20.5740932884861,19.7624329565246,20.3461915027516,19.9118341225985,19.9690120958313,3.13743027431082e-20,0.999999999811241,1
"O35685",NA,2,1,NA,2,3,19.4851093214746,NA,18.1660697557642,NA,18.6229241310537,19.6919978264472,5.07172733187402e-20,0.999999999796679,1
"Q9CQI3",2,2,2,2,2,NA,20.7594691365566,20.3887554172589,19.2509673276686,19.5909678754792,19.4297507713881,20.6576985514928,-3.51797105135777e-08,0.999597001424549,1
NA,NA,NA,NA,NA,NA,NA,19.3693529704345,19.2227195714162,17.8806015755883,18.3198885373726,17.8652088066886,19.011346006797,-0.248034430054528,0.150865573273804,0.4513315997101
NA,NA,NA,NA,NA,NA,NA,19.1833230977339,18.5890078795794,17.7745787848121,18.2569120119682,17.9777132403262,19.1238581282667,3.99429463161648e-21,0.999999999981286,1
"P61087",2,3,NA,4,4,4,19.000452544357,18.6717856842165,17.9824426039356,18.9382887576562,18.7107760842909,19.2924211899343,0.618343819411955,2.01025087225982e-05,0.00066712278946855
"Q8C166",3,3,3,4,5,7,19.4789370925413,18.9681052128776,18.1065745315039,18.9809569457181,18.550929479649,19.2997700234157,0.20412507632237,0.04208255145659,0.19560847207998
"P42208",2,NA,NA,1,1,5,19.4340529996951,18.7224174440559,18.0035175322144,18.8715890418698,18.3064813619661,19.9605164239805,0.188889796167923,0.213593946173989,0.572179756106312
"Q8BTZ7",NA,NA,NA,NA,1,NA,18.9669786540455,19.4332145698893,16.86411702022,19.3938441067141,19.2757356241,19.8322433713969,0.914414260622294,0.0254654236120441,0.138699082039645
"Q6NV83",NA,1,NA,NA,NA,NA,20.4053733359647,19.8485242451264,19.051321635724,19.459580729085,18.5815767187622,19.5367886599206,-0.454266719440144,0.0280604614670001,0.148304735234849
"P62900",4,5,4,NA,3,2,22.2806836753027,21.9268530304179,20.9956060249668,21.5520741397629,21.4058025695661,22.2193040041103,2.45827779972588e-17,0.999999990201526,1
"Q07813",NA,NA,NA,1,NA,1,18.1494237752673,16.575204293042,17.2679019039322,18.112472596672,17.8439725276413,18.7118912945189,0.623272442363819,0.021647761950989,0.126087168588005
"P00405",2,2,3,2,1,3,21.4222003268605,20.7766891760547,20.3851535136226,20.6277293083411,19.1823280794576,21.6877831094614,-9.14986011251692e-20,0.999999999653751,1
"Q9R0P6",2,3,NA,2,3,2,19.3433349144993,18.9195309615556,18.4517004882374,18.3175387124819,18.2604552476108,19.3937903745073,-4.38662598763271e-20,0.999999999734588,1
"Q6P1F6",1,2,NA,NA,NA,NA,19.7981154577134,18.8845415841026,18.8127738315005,18.9285439015283,18.4811552118259,19.8163382457791,-2.20340767816247e-20,0.999999999912152,1
"O88544",2,NA,NA,NA,NA,NA,18.8652214164044,18.0830568493828,17.7825600451719,18.5267732779014,18.1799022062698,18.9092653848198,0.278119017980833,0.108975728542319,0.359141719699512
"Q505F5",1,2,NA,1,NA,NA,18.859391312046,18.396509989892,18.3117560098937,18.6380800323663,18.1211510793358,19.239689148563,2.15047302931659e-19,0.999999999197369,1
"Q99J09",2,1,NA,NA,NA,2,18.9058989228648,18.108692847045,16.8420228704336,17.7847941123201,17.203559499005,18.0419984718795,-1.77047463759789e-19,0.999999999379434,1
"P41105",4,4,4,5,4,4,20.9974416312038,20.8847188542603,19.5188604240423,20.6489995462582,19.761544280404,21.2414976440755,2.86123622816189e-20,0.999999999766416,1
"C0HKE1,C0HKE2,C0HKE3,C0HKE4,C0HKE5,C0HKE6,C0HKE7,C0HKE8,C0HKE9,Q8BFU2,Q8CGP5,Q8CGP6,Q8CGP7,Q8R1M2",3,NA,NA,2,NA,NA,22.591028089767,22.4189023716967,21.7818641103812,22.0302074455552,21.6774201988191,24.1421163453484,2.65266100370433e-17,0.999999996616994,1
"Q9WTX5",3,2,2,2,2,2,20.6164088812332,20.6559679231665,19.3973182806655,20.3118097998604,19.9626038630554,20.6476009874531,4.42975464021766e-20,0.999999999798943,1
"Q9WUM3",5,4,5,3,4,4,20.3013969258825,19.5825375473943,18.9704489657823,19.3773251112363,19.2670919998263,19.7822088122302,7.88085177170006e-18,0.999999997911947,1
"Q9DC69",2,2,2,1,2,2,19.5914824170991,19.3391821831098,19.0155976137471,19.1033254088264,18.9128097289655,19.7496800542193,7.87304376479313e-20,0.999999999615665,1
"P11087",2,NA,3,NA,NA,NA,18.6458131984731,17.2532937146403,17.6676977448637,18.0923839107716,16.5641249806688,17.5238296859162,-1.15952946664928e-19,0.999999999594736,1
"P01904,P04224",1,1,1,1,1,1,19.2660880178227,18.698010911415,17.9687968927193,19.2274024484272,19.1017308478708,20.2525422943838,0.984198395338909,0.000348115789148038,0.0065363319883454
"Q9DAK9",2,3,NA,1,NA,NA,18.5777337312781,18.0500072102121,17.1812531664961,17.813391380442,17.1237899056353,18.2141792034077,-0.128178135870119,0.163627817622106,0.479459744859848
"Q9R1P3",2,NA,NA,2,3,2,20.9816674237038,20.5815203066972,19.3743789745623,19.8999773821261,19.6752895017487,20.8125412399402,-2.31084424963662e-20,0.999999999895361,1
NA,NA,NA,NA,NA,NA,NA,19.6862758302152,19.7475674715377,19.2796786441753,19.7213455956887,19.633489055499,20.4100998969651,0.200897373607547,0.253760607910019,0.657198525385839
"P48024",1,NA,NA,1,1,1,19.9074393108159,21.7328585458283,21.0573733251972,21.516309945057,20.8287643759601,22.0769386753251,-2.4202041460157e-20,0.999999999906816,1
