"protein_group","number_of_peptides_control_1","number_of_peptides_cystitis_1","number_of_peptides_cystitis_2","number_of_peptides_cystitis_3","number_of_peptides_high grade_1","number_of_peptides_high grade_2","number_of_peptides_cystitis_4","number_of_peptides_high grade_3","number_of_peptides_high grade_4","number_of_peptides_control_2","number_of_peptides_high grade_5","number_of_peptides_cystitis_5","number_of_peptides_high grade_6","number_of_peptides_high grade_7","number_of_peptides_cystitis_6","number_of_peptides_high grade_8","number_of_peptides_high grade_9","number_of_peptides_cystitis_7","number_of_peptides_high grade_10","number_of_peptides_control_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_cystitis_1","abundance_cystitis_2","abundance_cystitis_3","abundance_cystitis_4","abundance_cystitis_5","abundance_cystitis_6","abundance_cystitis_7","abundance_high grade_1","abundance_high grade_2","abundance_high grade_3","abundance_high grade_4","abundance_high grade_5","abundance_high grade_6","abundance_high grade_7","abundance_high grade_8","abundance_high grade_9","abundance_high grade_10","log_fold_change_genotypecystitis.genotypecontrol.","differential_abundance_pvalue_genotypecystitis.genotypecontrol.","differential_abundance_qvalue_genotypecystitis.genotypecontrol.","log_fold_change_genotypehigh.grade.genotypecontrol.","differential_abundance_pvalue_genotypehigh.grade.genotypecontrol.","differential_abundance_qvalue_genotypehigh.grade.genotypecontrol."
"Q7Z794",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1613123666938,12.8934884351467,NA,NA,NA,NA,NA,NA,NA,NA,17.9755610317785,NA,NA,NA,NA,NA,NA,NA,NA,15.1961146513439,NA,NA,NA,0.594794398588246,0.10766357342718,0.648484556026295
"Q92688",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9008115301408,13.0874456260485,NA,14.7502596734041,16.5448454666694,NA,16.4712353368332,16.4822231311652,13.7528653130251,17.6428505434359,17.4419011269358,15.9209461664274,15.7271251400288,15.3555819537653,16.8821737577317,17.2878876220704,15.3569504734336,18.0230917153841,15.4889871951554,16.6542181842549,1.23947666702038,0.00684459147506121,0.228660055944638,1.51089542388215,0.00105558316630559,0.0514586062148708
"A0MZ66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2418693721599,NA,NA,NA,16.7070741486098,NA,NA,NA,NA,NA,NA,NA,NA
"O15021",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9390801191071,17.3458786260478,17.2977323057453,NA,NA,NA,13.4669159155779,14.5643477567113,15.734298469819,NA,21.7512336620578,16.751745386846,14.2199085538826,18.0348079233538,16.9118370410078,18.0571835122443,19.8761704923907,17.9459079488229,16.7756067771361,18.999073576038,-1.96089348642364,0.0441535931052985,0.5286708979776,-0.265772963277059,0.733389529752683,1
"Q15008",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,14.9432059826464,14.9764767373993,15.4131635530895,14.9521015742381,16.231088284139,16.1974164085141,16.2410689386407,16.1903555055129,14.1853429858922,15.9222624212783,17.0104974291777,15.1990602357223,14.1328586297701,14.5143431667596,15.948269547496,16.5062810111493,15.8633615926138,15.6203768507718,15.3854904506587,14.3237430956176,-0.156897984426167,0.430662907330126,1,-0.232639161050169,0.224482732264126,0.949638255678339
"Q5JSP0",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7053906802272,NA,NA,NA,NA,15.3650453376338,16.762660899613,NA,NA,NA,NA,NA,NA,NA,NA,16.1816782375507,NA,NA,NA,NA,1.02213932757293e-18,0.999999998963652,1,7.45546098588551e-19,0.999999999382802,1
"P80188",1,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,1,3,1,3,4,NA,1,12.9128047678564,14.0886278402558,14.1099014807149,12.206788701351,13.7049773821817,13.5802723042194,13.5862438333949,13.1645488919343,17.839722011747,17.7125584847364,13.9794156204365,NA,11.4851646086673,15.5336536314493,16.094072547738,NA,15.5180734696823,16.1852158265586,16.7148724671626,13.1495022049812,-1.21682787457381e-05,0.999999999033092,1,2.02283885710794e-06,0.99999999983677,1
"Q8IXQ6",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7014974312783,NA,NA,14.2499362585692,NA,NA,NA,NA,NA,15.6768432528588,16.6250918575453,NA,14.925071056153,15.9301968612085,NA,NA,NA,15.8816465295624,15.4786286821331,NA,-0.203706118421153,0.438709815654969,1,-0.0409878519769965,0.859889371853821,1
"P01040",2,2,2,NA,4,3,NA,2,2,2,2,NA,2,3,NA,5,2,NA,2,2,17.0949444821335,16.9133380521955,17.2129464811266,16.5174482414341,16.5975625567801,16.0931254902522,14.6232571674612,16.2879825693024,15.2508423131666,15.5501961494976,19.7335598723957,16.2121753422514,16.5586554442245,16.0638044380915,17.581014410743,16.3311778120479,17.7668331856262,20.0512780513225,17.5105427709153,18.0710441083235,-2.02673362012115,0.00253374077816319,0.125908183662357,-0.473467155465634,0.421540206954146,1
"P07360",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,13.9494639084545,14.1419645156152,14.3510212993144,14.1712148779737,15.425012456672,16.7172035660801,NA,16.0112391850929,16.6114401867965,NA,NA,14.6051182837163,NA,15.61222102902,NA,NA,16.9053279408129,16.1335867111123,16.7401333706903,NA,0.0250566432479508,0.867912629226198,1,0.0460155178585575,0.743959914147634,1
