"protein_group","number_of_peptides_hcc_1","number_of_peptides_control_1","number_of_peptides_hcc_1.1","number_of_peptides_control_1.1","number_of_peptides_hcc_1.2","number_of_peptides_control_1.2","number_of_peptides_hcc_1.3","number_of_peptides_control_1.3","number_of_peptides_hcc_1.4","number_of_peptides_control_1.4","number_of_peptides_hcc_1.5","number_of_peptides_control_1.5","number_of_peptides_control_1.6","number_of_peptides_hcc_1.6","number_of_peptides_control_1.7","number_of_peptides_hcc_1.7","number_of_peptides_control_1.8","number_of_peptides_hcc_1.8","number_of_peptides_control_1.9","number_of_peptides_hcc_1.9","number_of_peptides_control_1.10","number_of_peptides_hcc_1.10","number_of_peptides_hcc_1.11","number_of_peptides_control_1.11","number_of_peptides_hcc_1.12","number_of_peptides_control_1.12","number_of_peptides_hcc_1.13","number_of_peptides_control_1.13","number_of_peptides_hcc_1.14","number_of_peptides_control_1.14","number_of_peptides_hcc_1.15","number_of_peptides_control_1.15","number_of_peptides_control_1.16","number_of_peptides_hcc_1.16","number_of_peptides_control_1.17","number_of_peptides_hcc_1.17","number_of_peptides_control_1.18","number_of_peptides_hcc_1.18","differential_abundance_pvaluecontrol.hcc","differential_abundance_qvaluecontrol.hcc","abundance_hcc_1","abundance_control_1","abundance_hcc_1.1","abundance_control_1.1","abundance_hcc_1.2","abundance_control_1.2","abundance_hcc_1.3","abundance_control_1.3","abundance_hcc_1.4","abundance_control_1.4","abundance_hcc_1.5","abundance_control_1.5","abundance_hcc_1.6","abundance_control_1.6","abundance_hcc_1.7","abundance_control_1.7","abundance_hcc_1.8","abundance_control_1.8","abundance_hcc_1.9","abundance_control_1.9","abundance_hcc_1.10","abundance_control_1.10","abundance_hcc_1.11","abundance_control_1.11","abundance_hcc_1.12","abundance_control_1.12","abundance_hcc_1.13","abundance_control_1.13","abundance_hcc_1.14","abundance_control_1.14","abundance_hcc_1.15","abundance_control_1.15","abundance_hcc_1.16","abundance_control_1.16","abundance_hcc_1.17","abundance_control_1.17","abundance_hcc_1.18","abundance_control_1.18"
"REV__sp|O43526|KCNQ2_HUMAN",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.518149038351735,0.663642752561179,23.5981486108839,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8813057158673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.156196474836,23.0398750944366,22.2722242597518,NA,22.9451868279161,NA,23.5756486779074,24.3074613166653,23.6009838746469,NA,NA,NA,22.4320226053498,NA,NA
"REV__sp|O60858|TRI13_HUMAN",2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0.402079390943061,0.564339352359649,19.04020206084,21.4731771023263,NA,NA,19.7634832475005,20.1980236040141,20.6464905687708,NA,NA,NA,20.2005134162385,NA,20.9248714321886,NA,NA,22.2517352012534,22.4768424976092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0410179017938,21.299063005393
"REV__sp|O75445|USH2A_HUMAN",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0.00598606397804765,0.0290063453070601,22.8666148288574,NA,NA,NA,NA,22.1705878239674,NA,20.5975623215244,22.7672190735648,NA,22.60576255204,21.6189373232592,23.2089687872417,21.8119720685214,22.7964202771403,19.3726950932076,22.4261245076162,NA,NA,NA,NA,NA,NA,19.572750542114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3432318674471,NA,21.9984492202617
"REV__sp|O95477|ABCA1_HUMAN",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.354331428856704,0.520698819781675,NA,18.4301444106512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5101900273652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9566016325158,19.6626657218904,NA,NA,NA,NA,19.9572698490675,NA,NA,NA,NA,NA
"REV__sp|O95714|HERC2_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.112980542151911,0.241313545362001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9652817621929,NA,NA,NA,NA,19.7946679209145,19.2202409560303,20.243246840811,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0389654722888
"REV__sp|P12111|CO6A3_HUMAN",1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0.0579502537883103,0.151611327985617,17.0985545271204,NA,22.8121129683153,21.603199719912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3898830958956,NA,22.2336827094435,20.0192816002558,NA,NA,21.2659750615445,NA,22.5079745883247,20.7593273814098,22.7159843150686,20.7179384656165,21.6957221021122,21.4682895195164,23.39487346238,NA,22.2028071877015,22.6558642461906,21.7951686991692,NA,NA,NA,20.3985890715131
"REV__sp|P12259|FA5_HUMAN",0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.784212438289634,0.870836997242002,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1374639950307,20.3753870362416,22.3444813542337,NA,NA,NA,NA,NA,19.4876174073531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6243280384656,NA,NA,NA,NA,NA,NA,20.9869550013986
"REV__sp|P21108|PRPS3_HUMAN",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,21.3497975902601,NA,NA,NA,NA,NA,19.2617842123838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9923250772613,NA,NA,NA,NA,NA
"REV__sp|P28340|DPOD1_HUMAN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4792537591658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7503046692975,NA,NA,NA,NA,NA,NA,NA
"REV__sp|P35749|MYH11_HUMAN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0.375673977263886,0.541434886178194,23.0655848371775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7959938595669,23.4030619235827,21.6457435817673,24.1075432115964,21.7201149091198,20.821529681989,NA,21.7471479322033,NA,NA,20.7017019099112,21.5161329961594,22.7930078924574,NA,NA,24.0298699230132,21.8900176690409
"REV__sp|P49903|SPS1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.167810503525027,0.314506510229711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8890924561567,21.0530129677351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2643855670434,NA,NA
"REV__sp|P62834|RAP1A_HUMAN;REV__sp|P61224|RAP1B_HUMAN;REV__sp|A6NIZ1|RP1BL_HUMAN",0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0.0513055659743732,0.137962509638083,NA,18.9692563064083,21.8145365057981,21.8284267666937,NA,NA,NA,NA,21.5183365672789,19.4901218984262,NA,20.7861318810602,NA,NA,20.9594271847879,20.5430714534892,NA,19.3368672014766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.909876596467
"REV__sp|P82987|ATL3_HUMAN",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.513339846381489,0.660341240742516,NA,19.9653939144666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.288438687174,NA,NA,22.2621957069753,NA,NA,NA,NA,NA,NA,NA,NA,19.1618850155962,29.165695613829,NA,NA,NA,25.0458772270138,NA,NA,NA,28.9582572470715
"REV__sp|Q03001|DYST_HUMAN",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0.53372965253917,0.6760734022591,17.66091900714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5479084442191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3442713881992,16.6594317008136,18.3015639178084,NA,NA,18.1726833631369,19.4877861303024,NA,NA,NA,16.1862369141469
"REV__sp|Q03164|KMT2A_HUMAN",1,1,0,1,0,0,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0.0342889775891211,0.101828957454123,20.3548208626534,21.4343001044992,NA,NA,19.7914720627312,NA,NA,NA,NA,21.4422440409123,NA,21.3759068071568,NA,NA,20.6307036028313,20.957311106466,NA,21.8008878224765,NA,21.8935126757242,NA,NA,NA,20.1599185317374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.239255657307,NA,22.4144404502216
"REV__sp|Q12802|AKP13_HUMAN",1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0306558395595547,0.0936797675047616,22.7002429090033,NA,NA,20.8363388707597,NA,21.0314552361168,NA,20.715938330069,NA,20.7823955088304,22.0797441237886,20.5203402932293,NA,21.097496128193,NA,NA,20.514231025885,20.7149621335835,NA,NA,21.7895973567555,NA,NA,NA,21.07587961218,NA,NA,20.9977186211864,22.1356261494907,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REV__sp|Q12923|PTN13_HUMAN",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,20.961862023073,NA,NA,NA,NA,NA,20.0359833516934,NA,20.561512353507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3004098625624,NA
"REV__sp|Q13188|STK3_HUMAN",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.358585169333828,0.524619377514454,15.825216261801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5124008401646,NA,NA,NA,NA,NA,20.4414521117028,NA,NA,NA,NA,NA,NA,NA,NA,19.9797679481867,NA,NA
"REV__sp|Q14789|GOGB1_HUMAN",2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0.440022590940685,0.596441163820786,20.3930252351151,NA,NA,NA,NA,NA,NA,NA,21.810153258124,21.9853265087678,NA,NA,NA,NA,NA,NA,NA,19.1363406634854,NA,NA,NA,21.870098428994,20.5745287482525,21.9482397327109,20.9747136722282,NA,NA,20.8853345977189,NA,NA,NA,23.3888835870963,NA,NA,NA,NA,20.8166200782723,20.6328458281426
"REV__sp|Q15154|PCM1_HUMAN",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.978282357435093,0.986605213365062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5854586397434,NA,NA,18.5895739576582,NA,NA,NA,19.6847919959742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7549346243505
"REV__sp|Q16825|PTN21_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.515698442357084,0.661778109384711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0755118085318,NA,NA,NA,19.094007367979,NA,NA,NA,NA,NA,NA,19.9098710212535,NA,NA,18.2837811167884,NA
"REV__sp|Q5JQC9|AKAP4_HUMAN",2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.584311045446578,0.717401443630262,21.344960311379,NA,NA,20.191496037724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3175079644364,NA,19.6149778476289,20.5535535501101,NA,22.1554724795818,19.8035353586765,19.6573846854925,19.6795165085613,NA,NA,NA,20.7581620655549,20.2719503533756,21.5640670643767,NA,19.9401358354164,NA,NA
"REV__sp|Q5SZK8|FREM2_HUMAN",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.703900711910661,0.805550090662039,18.8898977506716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5124152793187,NA,NA,NA,18.4038514366482,18.1339634569204,20.1104915351085,NA,NA,NA,NA,18.8550535056017,19.1640233232477,NA,NA,NA,NA,NA,NA,NA,19.2269649508571
"REV__sp|Q5T655|CFA58_HUMAN",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.341645542417315,0.508074465743095,NA,NA,20.1256760132497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0219933479288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5841114209789,18.2640255081633
"REV__sp|Q68DK2|ZFY26_HUMAN",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0.79487981242215,0.878226433530492,23.4880437895917,NA,22.7974329248202,19.4748756229365,18.927496561595,NA,21.5391190061552,NA,NA,21.6117081910359,22.014413805894,21.3072665956696,21.03716497634,21.8336093745952,22.6337200874173,20.5666387585076,21.1817911755393,20.1800826370301,NA,21.9941459701382,20.2974969939893,22.7322888801539,21.8077031367736,NA,20.2282447370048,21.1233532294479,21.4146880808543,NA,20.8693555219614,21.9948315805493,NA,21.3212174664074,NA,21.2736456365755,20.7692767419558,21.8161561841885,NA,23.2521013145631
"REV__sp|Q86UU1|PHLB1_HUMAN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0605588142256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3374874888739,NA
"REV__sp|Q8IWJ2|GCC2_HUMAN",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.726933990174031,0.825270232260622,NA,NA,NA,19.9161373900932,NA,NA,NA,NA,NA,19.5243682578654,NA,NA,NA,NA,NA,NA,NA,24.2153699905037,22.6496744628031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0704719829284,NA,NA
"REV__sp|Q8IWT3|CUL9_HUMAN",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.12201717043781,0.254500623090593,NA,NA,NA,NA,NA,NA,NA,20.1480637416872,24.5577719369265,NA,NA,NA,NA,NA,23.2870828275787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9322316734161,NA,24.0923959526522,26.8612509597204,NA,NA,NA,NA,NA,NA,NA
"REV__sp|Q8IZF0|NALCN_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0269343700521475,0.0860025620632543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4188730264703,NA,NA,22.5643737539303,NA,NA,17.6238438757726,NA,NA,21.9175751074941,NA,NA,NA,NA,20.2872978687012,NA
"REV__sp|Q8IZS8|CA2D3_HUMAN",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6634718849341,NA,NA,NA,NA,NA,19.7091416693212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3341593725781,NA,NA,NA,NA,NA
"REV__sp|Q8N1M1|BEST3_HUMAN",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.231410486050229,0.392126351785196,17.9979517104273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7020729515512,NA,NA,NA,NA,NA,NA,NA,17.9570265698632,19.1353844387819,18.1209225815002,NA,18.7110984128888,17.3778108116131,19.1965772854801,NA,18.6449964940308,NA,NA,NA,NA,NA,NA,NA,19.6336688797072
"REV__sp|Q8NCM8|DYHC2_HUMAN",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793075156208323,0.87682275202925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9724197231707,NA,NA,NA,NA,NA,NA,19.5866300374541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REV__sp|Q8NG31|KNL1_HUMAN",0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,2,1,1,1,0,1,0,1,2,1,0,0,0,1,0,1,1,0,1,0,1,0,0.886902211405647,0.931225971736512,NA,NA,NA,19.7101336834555,NA,20.0328539589225,NA,21.4369929780278,NA,20.583261946919,NA,20.8073232340046,NA,NA,20.6850120403159,NA,NA,NA,NA,18.8440893698351,NA,20.2716333557828,21.5445817796958,20.13892329432,18.3447958176101,17.3278404511858,19.4043545863512,NA,20.1751480420018,19.9598430961725,21.2300428349238,20.6980202645348,NA,NA,NA,21.2157680818979,NA,20.960958166349
"REV__sp|Q8TBF8|FA81A_HUMAN",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,1,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0.00624749871770363,0.029999603576289,24.5441463295374,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9239068671705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.171546588095,25.1367326437997,25.6573514643004,NA,24.90900098498,21.3878669168028,25.232852341841,17.8094014910676,25.5753399536548,21.9162145934224,25.7653287470321,NA,24.95539877112,NA,NA,NA,NA
"REV__sp|Q8TE73|DYH5_HUMAN",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.53732970188786,0.677917074000426,NA,NA,NA,NA,NA,NA,NA,NA,18.8845057330975,NA,NA,NA,NA,18.258592753053,20.1555563456357,NA,18.8575208314917,NA,NA,NA,NA,NA,NA,NA,NA,17.4431927365081,NA,18.7888869212434,NA,18.8541199186724,NA,20.7362549656863,NA,NA,NA,NA,NA,NA
"REV__sp|Q8TE96|DQX1_HUMAN",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.608426161505192,0.73470816191947,NA,NA,NA,NA,NA,24.4271215008837,NA,NA,NA,NA,23.6866129417704,NA,23.5682444111028,NA,25.5236332198972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1853402566388,NA,NA,NA,NA,NA,NA,NA
"REV__sp|Q8WWK9|CKAP2_HUMAN",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,18.7008162191794,NA,NA,NA,NA,NA,NA,NA,20.1503280857584,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7076856467153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REV__sp|Q8WXH0|SYNE2_HUMAN",1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,2,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,2,1,0.0758670476262211,0.183695106805616,22.0602955803438,25.3343419426345,NA,NA,NA,22.4019299161648,NA,21.1700551956926,24.3845680817072,NA,NA,26.0452964835548,20.5025224756584,NA,NA,NA,NA,26.6044304591108,NA,NA,NA,20.8880566261251,21.9698057459673,27.2997080779226,20.5714519373716,21.5250248658864,19.6373265699111,20.845062781808,NA,21.421318471284,NA,21.1149193439871,19.980537475298,22.0514522488381,20.6490403640616,21.3371551369004,NA,21.4606535792326
"REV__sp|Q8WZ42|TITIN_HUMAN",2,1,0,0,0,0,0,0,1,1,2,0,1,2,0,0,1,2,0,1,3,0,0,1,1,1,0,0,1,0,1,0,1,0,0,2,0,1,0.307392104752988,0.472418907313795,21.0650930284373,NA,NA,20.4679514647797,NA,NA,21.1718621075471,NA,20.7327570935325,18.2278316816069,NA,NA,NA,NA,NA,NA,20.8599188021673,20.8137999098904,20.7090665149116,19.107977694037,22.8357148235201,NA,NA,20.2360682119466,21.1014792837928,NA,18.2975819368875,21.8306002237483,NA,21.3491273746123,21.0271231877537,20.3078140828575,NA,NA,20.5642660923734,NA,20.5740901011991,NA
"REV__sp|Q92878|RAD50_HUMAN",0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.85785456180435,0.911407478623732,NA,NA,NA,NA,19.3763202063385,NA,19.1233589096947,NA,NA,NA,19.3399781007973,18.8467488881175,21.2223121506316,NA,19.9570287149729,19.5667213563401,18.8315398298678,NA,NA,NA,NA,NA,NA,19.9901644477368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.578195726657
"REV__sp|Q96GM5|SMRD1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.906073791852376,0.943205246183684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7968095387982,NA,NA,NA,20.3594671432361,NA,NA,17.0464131391308,NA,NA,NA,NA,NA,21.6211346079801,NA,22.504706083138,NA,NA,NA
"REV__sp|Q96K19|RN170_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1557816972393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4424200697068,NA
"REV__sp|Q96MZ0|GD1L1_HUMAN",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0.0411063104142919,0.116714025078503,NA,NA,18.90865451713,NA,19.0804359228651,21.9986696992537,NA,NA,NA,NA,NA,NA,NA,19.9924261579113,NA,21.4307986693844,NA,NA,NA,NA,NA,NA,NA,21.2205582758212,NA,20.888845930945,NA,NA,NA,NA,20.96396797477,NA,NA,NA,NA,NA,NA,21.073159614778
"REV__sp|Q96N23|CFA54_HUMAN",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,17.687531739241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6523030402329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1825842315618,NA,NA,NA,NA,NA,NA,NA,21.3609303687446,NA
"REV__sp|Q96SB8|SMC6_HUMAN",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5336708896946,NA,19.3857555617906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REV__sp|Q9BQS7|HEPH_HUMAN",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0.0375238011994124,0.108791300877598,27.1206950516534,23.183263231765,24.1636505409517,25.1321257478781,26.1566066005315,24.0301153435461,24.0955905522575,25.461266765502,27.5803683378286,24.814543964278,26.4587638144649,22.1267043470484,24.429740817218,25.2473372174919,NA,23.5128031979486,24.0011322477067,22.5831517635713,25.2339718830322,26.4473900989441,25.1574071164961,26.0373116572968,24.4506460770082,24.708594557142,26.6124724052468,25.9758410247436,25.3647740560995,25.8674357195811,25.9622010078466,25.1915645421109,24.8127703312616,26.1358900662503,27.7869411675023,24.8725403105431,26.1459160850931,24.2168108683842,26.5367504065613,25.9978056503699
"REV__sp|Q9H5I5|PIEZ2_HUMAN",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2339856227073,NA,NA,NA,21.2685391250874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
